,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
0,Gladiator,2000,8.5,67        ,1294870,R,https://imdb.com/title/tt0172495/,Action,Adventure,Drama,Russell Crowe,Joaquin Phoenix,Connie Nielsen,41,5,54,104,155,103000000,460583960
1,Memento,2000,8.4,80        ,1088130,R,https://imdb.com/title/tt0209144/,Mystery,Thriller,,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,54,2,57,56,113,9000000,39723096
2,Snatch,2000,8.3,55        ,760320,R,https://imdb.com/title/tt0208092/,Comedy,Crime,,Jason Statham,Brad Pitt,Benicio Del Toro,104,0,4,6,104,6000000,83557872
3,Requiem for a Dream,2000,8.3,68        ,741844,R,https://imdb.com/title/tt0180093/,Drama,,,Ellen Burstyn,Jared Leto,Jennifer Connelly,91,1,35,69,102,4500000,7390108
4,X-Men,2000,7.4,64        ,558541,PG-13,https://imdb.com/title/tt0120903/,Action,Adventure,Sci-Fi,Patrick Stewart,Hugh Jackman,Ian McKellen,0,0,13,27,104,75000000,296339528
5,Cast Away,2000,7.8,73        ,505118,PG-13,https://imdb.com/title/tt0162222/,Adventure,Drama,Romance,Tom Hanks,Helen Hunt,Paul Sanchez,0,2,15,35,143,90000000,429632142
6,American Psycho,2000,7.6,64        ,466642,R,https://imdb.com/title/tt0144084/,Comedy,Crime,Drama,Christian Bale,Justin Theroux,Josh Lucas,0,0,8,13,101,7000000,34266564
7,Unbreakable,2000,7.3,62        ,377278,PG-13,https://imdb.com/title/tt0217869/,Drama,Mystery,Sci-Fi,Bruce Willis,Samuel L. Jackson,Robin Wright,0,0,2,13,106,75000000,248118121
8,Mission: Impossible II,2000,6.1,59        ,305733,PG-13,https://imdb.com/title/tt0120755/,Action,Adventure,Thriller,Tom Cruise,Dougray Scott,Thandie Newton,0,0,12,20,123,125000000,546388108
