,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
530,Flight 7500,2014,4.8,,14306,PG-13,https://imdb.com/title/tt1975159/,Horror,Mystery,Sci-Fi,Leslie Bibb,Ryan Kwanten,Amy Smart,0,0,0,0,97,,2871035
531,The Road Within,2014,7.1,31        ,13632,R,https://imdb.com/title/tt2962876/,Comedy,Drama,,Robert Sheehan,Dev Patel,Zoë Kravitz,0,0,8,9,100,,41760
532,Some Kind of Beautiful,2014,5.7,11        ,13194,R,https://imdb.com/title/tt1725986/,Comedy,Romance,,Pierce Brosnan,Salma Hayek,Jessica Alba,0,0,0,0,99,,2446097
533,The Town That Dreaded Sundown,2014,5.6,47        ,13096,R,https://imdb.com/title/tt2561546/,Horror,Mystery,Thriller,Addison Timlin,Veronica Cartwright,Anthony Anderson,0,0,2,1,86,,
534,Moms' Night Out,2014,5.4,25        ,12973,PG,https://imdb.com/title/tt3014666/,Comedy,,,Sarah Drew,Sean Astin,Patricia Heaton,0,0,0,1,98,5000000,10536956
535,And So It Goes,2014,5.8,38        ,12372,PG-13,https://imdb.com/title/tt2465146/,Comedy,Drama,Romance,Michael Douglas,Diane Keaton,Sterling Jerins,0,0,0,1,94,18000000,25419147
536,Wrong Turn 6: Last Resort,2014,4.2,,12355,R,https://imdb.com/title/tt3612032/,Horror,,,Anthony Ilott,Chris Jarvis,Aqueela Zoll,0,0,0,1,91,1200000,
537,Love Is Strange,2014,6.7,82        ,11888,R,https://imdb.com/title/tt2639344/,Drama,Romance,,John Lithgow,Alfred Molina,Marisa Tomei,0,0,2,20,94,,3057388
538,The Forger,2014,5.8,32        ,11612,R,https://imdb.com/title/tt2376218/,Crime,Drama,Thriller,John Travolta,Christopher Plummer,Tye Sheridan,0,0,0,0,95,15000000,500304
539,Labyrinth of Lies,2014,7.3,62        ,11528,R,https://imdb.com/title/tt3825638/,Drama,History,,André Szymanski,Alexander Fehling,Friederike Becht,0,0,6,18,124,,4574756
540,The Disappearance of Eleanor Rigby: Them,2014,6.3,57        ,11452,R,https://imdb.com/title/tt3729920/,Drama,Romance,,James McAvoy,Jessica Chastain,Viola Davis,0,0,3,8,123,3000000,1448076
541,Black or White,2014,6.6,45        ,11375,PG-13,https://imdb.com/title/tt2883434/,Drama,,,Kevin Costner,Octavia Spencer,Gillian Jacobs,0,0,2,2,,9000000,21833967
542,Kilo Two Bravo,2014,7.1,,11363,R,https://imdb.com/title/tt3622120/,Adventure,Biography,Drama,David Elliot,Mark Stanley,Scott Kyle,0,1,4,46,108,,34017
543,The Possession of Michael King,2014,5.7,34        ,11354,R,https://imdb.com/title/tt2282016/,Horror,,,Shane Johnson,Ella Anderson,Cara Pifko,0,0,0,2,83,,2405143
544,The Look of Silence,2014,8.3,92        ,11274,PG-13,https://imdb.com/title/tt3521134/,Documentary,Biography,History,Adi Rukun,M.Y. Basrun,Amir Hasan,0,1,48,4842,103,,157857
545,Fed Up,2014,7.7,71        ,11274,PG,https://imdb.com/title/tt2381335/,Documentary,,,Michele Simon,Katie Couric,Bill Clinton,0,0,0,3,92,,1546229
546,The Longest Week,2014,5.4,34        ,11184,PG-13,https://imdb.com/title/tt2064968/,Comedy,Drama,Romance,Jason Bateman,Olivia Wilde,Billy Crudup,0,0,0,1,86,,46460
547,In the Blood,2014,5.7,40        ,11023,R,https://imdb.com/title/tt2101570/,Action,Crime,Thriller,Gina Carano,Cam Gigandet,Ismael Cruz Cordova,0,0,0,0,108,10000000,594860
548,The Hungover Games,2014,3.6,,10995,R,https://imdb.com/title/tt3138104/,Comedy,,,Ross Nathan,Sam Pancake,Ben Begley,93,0,0,0,85,,
549,Yves Saint Laurent,2014,6.3,51        ,10918,R,https://imdb.com/title/tt2707858/,Biography,Drama,,Pierre Niney,Guillaume Gallienne,Charlotte Le Bon,0,0,2,8,106,12000000,21026290
550,Cut Bank,2014,6.0,44        ,10630,R,https://imdb.com/title/tt1661820/,Crime,Drama,Thriller,Michael Stuhlbarg,Bruce Dern,John Malkovich,0,0,2,3,93,5000000,288591
551,God's Pocket,2014,6.1,51        ,10538,R,https://imdb.com/title/tt2920808/,Crime,Drama,,Philip Seymour Hoffman,Christina Hendricks,Richard Jenkins,0,0,0,1,88,1000000,413567
552,Rob the Mob,2014,6.3,63        ,10534,R,https://imdb.com/title/tt2481480/,Crime,Drama,,Michael Pitt,Nina Arianda,Andy Garcia,0,0,0,0,104,,209613
553,Rosewater,2014,6.6,67        ,10134,R,https://imdb.com/title/tt2752688/,Biography,Drama,,Gael García Bernal,Kim Bodnia,Dimitri Leonidas,0,0,1,1,103,5000000,3171593
554,Behaving Badly,2014,4.5,18        ,10060,R,https://imdb.com/title/tt2314824/,Biography,Comedy,,Nat Wolff,Selena Gomez,Mary-Louise Parker,0,0,0,0,97,3000000,422697
555,Monsters: Dark Continent,2014,4.3,42        ,9802,R,https://imdb.com/title/tt1935302/,Action,Drama,Horror,Johnny Harris,Sam Keeley,Joe Dempsie,0,0,0,2,119,,306004
556,A Good Marriage,2014,5.2,43        ,9678,R,https://imdb.com/title/tt2180994/,Crime,Drama,Thriller,Joan Allen,Anthony LaPaglia,Stephen Lang,0,0,0,0,102,,
557,Burying the Ex,2014,5.4,37        ,9646,R,https://imdb.com/title/tt3339674/,Comedy,Horror,Romance,Anton Yelchin,Ashley Greene,Alexandra Daddario,0,0,2,1,89,,668777
558,The Connection,2014,7.1,67        ,9616,R,https://imdb.com/title/tt2935564/,Action,Crime,Thriller,Jean Dujardin,Gilles Lellouche,Céline Sallette,0,0,2,5,135,26000000,12062441
