,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
758,Anna and the Apocalypse,2017,6.0,63        ,8814,R,https://imdb.com/title/tt6433880/,Comedy,Horror,Musical,Ella Hunt,Malcolm Cumming,Sarah Swire,0,0,7,11,93,,670430
759,On Chesil Beach,2017,6.3,62        ,8687,R,https://imdb.com/title/tt1667321/,Drama,Music,Romance,Billy Howle,Saoirse Ronan,Andy Burse,0,0,0,0,110,,3335913
760,Beatriz at Dinner,2017,6.0,68        ,8673,R,https://imdb.com/title/tt5929750/,Comedy,Drama,,Salma Hayek,John Lithgow,Connie Britton,0,0,2,8,82,,7425391
761,The Pirates of Somalia,2017,6.8,54        ,8439,R,https://imdb.com/title/tt5126922/,Biography,Drama,,Al Pacino,Evan Peters,Melanie Griffith,0,0,0,0,116,,103385
762,American Renegades,2017,5.4,33        ,8392,PG-13,https://imdb.com/title/tt4106376/,Action,Adventure,Crime,J.K. Simmons,Sullivan Stapleton,Charlie Bewley,0,0,0,0,106,66190000,2602149
763,Film Stars Don't Die in Liverpool,2017,6.7,65        ,8273,R,https://imdb.com/title/tt5711148/,Biography,Drama,Romance,Annette Bening,Jamie Bell,Kenneth Cranham,0,3,2,214,105,10000000,4047917
764,Escape Room,2017,4.2,,8243,R,https://imdb.com/title/tt5159414/,Horror,Thriller,,Evan Williams,Annabelle Stephenson,Elisabeth Hower,0,0,0,0,81,,
765,Day of the Dead: Bloodline,2017,3.4,,8209,R,https://imdb.com/title/tt3053228/,Horror,,,Sophie Skelton,Johnathon Schaech,Jeff Gum,0,0,0,0,90,8000000,272793
766,Tragedy Girls,2017,6.0,58        ,8079,R,https://imdb.com/title/tt3859272/,Comedy,Crime,Horror,Brianna Hildebrand,Alexandra Shipp,Jack Quaid,0,0,8,4,98,,122211
767,Sweet Virginia,2017,6.2,72        ,7908,R,https://imdb.com/title/tt2582498/,Drama,Thriller,,Jon Bernthal,Christopher Abbott,Imogen Poots,0,0,0,2,93,,14725
768,Bullet Head,2017,5.4,51        ,7855,R,https://imdb.com/title/tt6204340/,Crime,Drama,Thriller,Adrien Brody,Antonio Banderas,John Malkovich,0,0,0,0,93,,361965
769,Revolt,2017,5.2,,7838,R,https://imdb.com/title/tt3722614/,Action,Adventure,Sci-Fi,Lee Pace,Bérénice Marlohe,Jason Flemyng,0,0,0,1,87,4000000,24416
770,The Lodgers,2017,5.1,52        ,7826,R,https://imdb.com/title/tt4399952/,Drama,Horror,Romance,Charlotte Vega,Bill Milner,Eugene Simon,0,0,4,4,92,,916727
771,Bleeding Steel,2017,5.2,43        ,7781,R,https://imdb.com/title/tt5813366/,Action,Adventure,Sci-Fi,Jackie Chan,Show Lo,Na-Na OuYang,0,0,0,1,109,65000000,48825526
772,Inconceivable,2017,5.2,,7710,R,https://imdb.com/title/tt3481634/,Thriller,,,Gina Gershon,Nicky Whelan,Nicolas Cage,0,0,0,0,105,,259635
773,Rebel in the Rye,2017,6.7,46        ,7681,PG-13,https://imdb.com/title/tt4986134/,Biography,Drama,Romance,Nicholas Hoult,Kevin Spacey,Victor Garber,0,0,0,0,106,,944370
774,The Hero,2017,6.5,61        ,7662,R,https://imdb.com/title/tt5655222/,Drama,Romance,Western,Sam Elliott,Laura Prepon,Krysten Ritter,0,0,2,6,96,1200000,4101699
775,November Criminals,2017,5.3,31        ,7628,PG-13,https://imdb.com/title/tt3266284/,Crime,Drama,Mystery,Ansel Elgort,Chloë Grace Moretz,David Strathairn,0,0,0,0,86,,
776,The Hunter's Prayer,2017,5.5,35        ,7554,R,https://imdb.com/title/tt2674358/,Action,Thriller,,Sam Worthington,Odeya Rush,Allen Leech,0,0,0,0,91,28000000,236820
777,An Inconvenient Sequel: Truth to Power,2017,6.4,68        ,7423,PG,https://imdb.com/title/tt6322922/,Documentary,,,Al Gore,Cory Booker,George W. Bush,0,1,6,614,98,1000000,5433926
778,The Case for Christ,2017,6.2,50        ,7377,PG,https://imdb.com/title/tt6113488/,Biography,Drama,,Erika Christensen,Faye Dunaway,Frankie Faison,0,0,0,4,112,5000000,18175663
779,La fille dans le brouillard,2017,6.8,,7340,PG-13,https://imdb.com/title/tt6892400/,Crime,Mystery,Thriller,Toni Servillo,Alessio Boni,Lorenzo Richelmy,0,0,3,8,128,,4996317
780,The Humanity Bureau,2017,4.8,,7315,R,https://imdb.com/title/tt6143568/,Action,Adventure,Sci-Fi,Nicolas Cage,Sarah Lind,Jakob Davies,0,0,0,1,95,4300000,58970
