movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
Yor the Hunter from the Future,4.5,64.0,2668.0,2.0,Action,Adventure,Fantasy,Reb Brown,Corinne Cléry,John Steiner,0.0,0.0,3.0,98.0,43819528.982781656,2810199.0,1983
Spring Break,5.0,17.0,2583.0,1.0,Comedy,Romance,Romance,David Knell,Steve Bassett,Perry Lang,0.0,0.0,0.0,102.0,43819528.982781656,24071666.0,1983
Strange Invaders,5.5,64.0,2518.0,2.0,Horror,Mystery,Sci-Fi,Paul Le Mat,Nancy Allen,Diana Scarwid,0.0,1.0,6.0,94.0,43819528.982781656,1362303.0,1983
The Lords of Discipline,6.6,64.0,2465.0,1.0,Thriller,Thriller,Thriller,David Keith,Robert Prosky,G.D. Spradlin,0.0,0.0,0.0,102.0,43819528.982781656,11787127.0,1983
The Key,5.5,64.0,2442.0,1.0,Drama,History,Romance,Frank Finlay,Stefania Sandrelli,Franco Branciaroli,0.0,0.0,0.0,116.0,43819528.982781656,53160295.192035295,1983
The Final Terror,5.2,64.0,2438.0,1.0,Horror,Horror,Horror,John Friedrich,Adrian Zmed,Ernest Harden Jr.,0.0,0.0,0.0,82.0,43819528.982781656,53160295.192035295,1983
Warrior of the Lost World,2.6,64.0,2402.0,1.0,Action,Sci-Fi,Thriller,Robert Ginty,Persis Khambatta,Donald Pleasence,0.0,0.0,0.0,92.0,500000.0,53160295.192035295,1983
Warriors of the Wasteland,4.6,64.0,2331.0,1.0,Action,Sci-Fi,Thriller,Giancarlo Prete,Fred Williamson,George Eastman,0.0,0.0,0.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
Wild Style,7.1,64.0,2221.0,1.0,Drama,Music,Music,'Lee' George Quinones,Lady Pink,Fab 5 Freddy,0.0,0.0,0.0,82.0,43819528.982781656,4948.0,1983
Escape from the Bronx,4.6,64.0,2102.0,1.0,Action,Sci-Fi,Thriller,Mark Gregory,Henry Silva,Valeria D'Obici,0.0,0.0,0.0,103.28243887592573,43819528.982781656,53160295.192035295,1983
The Man Who Loved Women,5.2,64.0,2087.0,1.0,Comedy,Drama,Romance,Burt Reynolds,Julie Andrews,Kim Basinger,0.0,0.0,0.0,110.0,19000000.0,10964740.0,1983
Richard Pryor... Here and Now,7.3,64.0,2046.0,1.0,Comedy,Comedy,Comedy,Richard Pryor,Paul Mooney,Paul Mooney,0.0,0.0,1.0,83.0,43819528.982781656,16156776.0,1983
