,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
68,Sergio,202,6.1,55.0,6246.0,R,https://imdb.com/title/tt8750570/,61.0
69,The Quarry,202,5.1,53.0,878.0,R,https://imdb.com/title/tt10151054/,51.0
70,The Secret Garden,202,,,,PG,https://imdb.com/title/tt2702920/,
71,Hamilton,202,,,,PG-13,https://imdb.com/title/tt8503618/,
72,Never Rarely Sometimes Always,202,7.2,91.0,4079.0,PG-13,https://imdb.com/title/tt7772582/,72.0
73,Knives Out,201,7.9,82.0,324611.0,PG-13,https://imdb.com/title/tt8946378/,79.0
74,Uncut Gems,201,7.5,90.0,180058.0,R,https://imdb.com/title/tt5727208/,75.0
75,Just Mercy,201,7.6,68.0,31262.0,PG-13,https://imdb.com/title/tt4916630/,76.0
76,Parasite,201,8.6,96.0,429546.0,R,https://imdb.com/title/tt6751668/,86.0
77,Joker,201,8.5,59.0,810979.0,R,https://imdb.com/title/tt7286456/,85.0
78,Ad Astra,201,6.6,80.0,170401.0,PG-13,https://imdb.com/title/tt2935510/,66.0
79,Once Upon a Time... in Hollywood,201,7.7,83.0,479798.0,R,https://imdb.com/title/tt7131622/,77.0
80,The Vast of Night,201,6.7,84.0,9575.0,PG-13,https://imdb.com/title/tt6803046/,67.0
81,The Gentlemen,201,7.9,51.0,148950.0,R,https://imdb.com/title/tt8367814/,79.0
82,1917,201,8.3,78.0,329155.0,R,https://imdb.com/title/tt8579674/,83.0
83,Avengers: Endgame,201,8.4,78.0,729510.0,PG-13,https://imdb.com/title/tt4154796/,84.0
84,7500,201,5.8,57.0,1824.0,R,https://imdb.com/title/tt6436726/,58.0
85,Maleficent: Mistress of Evil,201,6.6,43.0,71129.0,PG,https://imdb.com/title/tt4777008/,66.0
86,Jojo Rabbit,201,7.9,58.0,227501.0,PG-13,https://imdb.com/title/tt2584384/,79.0
87,Rocketman,201,7.3,69.0,117784.0,R,https://imdb.com/title/tt2066051/,73.0
88,Ready or Not,201,6.8,64.0,85564.0,R,https://imdb.com/title/tt7798634/,68.0
89,Midsommar,201,7.1,72.0,160462.0,R,https://imdb.com/title/tt8772262/,71.0
90,Star Wars: Episode IX - The Rise of Skywalker,201,6.7,53.0,333111.0,PG-13,https://imdb.com/title/tt2527338/,67.0
91,Little Women,201,7.9,91.0,110097.0,PG,https://imdb.com/title/tt3281548/,79.0
92,The Lodge,201,6.0,64.0,18953.0,R,https://imdb.com/title/tt7347846/,60.0
93,I See You,201,6.8,65.0,14341.0,R,https://imdb.com/title/tt6079516/,68.0
94,The Lighthouse,201,7.6,83.0,108813.0,R,https://imdb.com/title/tt7984734/,76.0
95,Bombshell,201,6.8,64.0,62340.0,R,https://imdb.com/title/tt6394270/,68.0
96,Jumanji: The Next Level,201,6.7,58.0,151846.0,PG-13,https://imdb.com/title/tt7975244/,67.0
97,It Chapter Two,201,6.6,58.0,181042.0,R,https://imdb.com/title/tt7349950/,66.0
98,The Dead Don't Die,201,5.5,53.0,43547.0,R,https://imdb.com/title/tt8695030/,55.0
99,A Beautiful Day in the Neighborhood,201,7.3,80.0,44081.0,PG,https://imdb.com/title/tt3224458/,73.0
100,The Irishman,201,7.9,94.0,294662.0,R,https://imdb.com/title/tt1302006/,79.0
101,Ford v Ferrari,201,8.1,81.0,224015.0,PG-13,https://imdb.com/title/tt1950186/,81.0
102,Alita: Battle Angel,201,7.3,53.0,211013.0,PG-13,https://imdb.com/title/tt0437086/,73.0
103,Doctor Sleep,201,7.4,59.0,106400.0,R,https://imdb.com/title/tt5606664/,74.0
104,Hustlers,201,6.3,79.0,71233.0,R,https://imdb.com/title/tt5503686/,63.0
105,Guns Akimbo,201,6.3,42.0,23712.0,R,https://imdb.com/title/tt6902676/,63.0
106,Midway,201,6.7,47.0,48566.0,PG-13,https://imdb.com/title/tt6924650/,67.0
107,We Summon the Darkness,201,5.1,55.0,2442.0,R,https://imdb.com/title/tt8058874/,51.0
