,movie,year,imdb_ratings,metascore,votes,category,mv_page,n_imdb
283,Ophelia,201,6.6,60.0,6468.0,PG-13,https://imdb.com/title/tt5690810/,66.0
284,The Nun,201,5.3,46.0,109679.0,R,https://imdb.com/title/tt5814060/,53.0
285,Creed II,201,7.1,66.0,97242.0,PG-13,https://imdb.com/title/tt6343314/,71.0
286,12 Strong,201,6.6,54.0,62967.0,R,https://imdb.com/title/tt1413492/,66.0
287,Mary Queen of Scots,201,6.3,60.0,35794.0,R,https://imdb.com/title/tt2328900/,63.0
288,Mortal Engines,201,6.1,44.0,95353.0,PG-13,https://imdb.com/title/tt1571234/,61.0
289,Roma,201,7.7,96.0,131712.0,R,https://imdb.com/title/tt6155172/,77.0
290,High Life,201,5.8,77.0,24599.0,R,https://imdb.com/title/tt4827558/,58.0
291,The First Purge,201,5.2,54.0,50840.0,R,https://imdb.com/title/tt6133466/,52.0
292,Maze Runner: The Death Cure,201,6.2,50.0,105111.0,PG-13,https://imdb.com/title/tt4500922/,62.0
293,Isle of Dogs,201,7.9,82.0,129759.0,PG-13,https://imdb.com/title/tt5104604/,79.0
294,The Nightingale,201,7.3,77.0,15519.0,R,https://imdb.com/title/tt4068576/,73.0
295,Hotel Mumbai,201,7.6,62.0,47165.0,R,https://imdb.com/title/tt5461944/,76.0
296,Blindspotting,201,7.4,77.0,24078.0,R,https://imdb.com/title/tt7242142/,74.0
297,Widows,201,6.9,84.0,80862.0,R,https://imdb.com/title/tt4218572/,69.0
298,The Girl in the Spider's Web,201,6.1,43.0,37681.0,R,https://imdb.com/title/tt5177088/,61.0
299,Outlaw King,201,6.9,59.0,55254.0,R,https://imdb.com/title/tt6679794/,69.0
300,Death Wish,201,6.4,31.0,60092.0,R,https://imdb.com/title/tt1137450/,64.0
301,Robin Hood,201,5.3,32.0,59127.0,PG-13,https://imdb.com/title/tt4532826/,53.0
302,Status Update,201,5.7,,3691.0,PG-13,https://imdb.com/title/tt5692390/,57.0
303,Shoplifters,201,8.0,93.0,53832.0,R,https://imdb.com/title/tt8075192/,80.0
304,Book Club,201,6.1,53.0,23573.0,PG-13,https://imdb.com/title/tt6857166/,61.0
305,Hunter Killer,201,6.6,43.0,47955.0,R,https://imdb.com/title/tt1846589/,66.0
306,Mile 22,201,6.1,38.0,61122.0,R,https://imdb.com/title/tt4560436/,61.0
307,Dragged Across Concrete,201,7.0,60.0,32702.0,R,https://imdb.com/title/tt6491178/,70.0
308,Searching,201,7.6,71.0,126542.0,PG-13,https://imdb.com/title/tt7668870/,76.0
309,Pacific Rim: Uprising,201,5.6,44.0,101234.0,PG-13,https://imdb.com/title/tt2557478/,56.0
310,Brian Banks,201,7.1,58.0,2948.0,PG-13,https://imdb.com/title/tt3920820/,71.0
311,Hotel Transylvania 3: Summer Vacation,201,6.3,54.0,52222.0,PG,https://imdb.com/title/tt5220122/,63.0
312,Peppermint,201,6.5,29.0,47771.0,R,https://imdb.com/title/tt6850820/,65.0
313,A Wrinkle in Time,201,4.2,53.0,39210.0,PG,https://imdb.com/title/tt1620680/,42.0
314,Dumplin',201,6.6,53.0,26216.0,PG-13,https://imdb.com/title/tt4878482/,66.0
315,The Sisters Brothers,201,7.0,78.0,48330.0,R,https://imdb.com/title/tt4971344/,70.0
316,The House with a Clock in Its Walls,201,6.0,57.0,41687.0,PG,https://imdb.com/title/tt2119543/,60.0
317,Truth or Dare,201,5.2,35.0,42985.0,PG-13,https://imdb.com/title/tt6772950/,52.0
318,Slaughterhouse Rulez,201,5.2,39.0,8947.0,R,https://imdb.com/title/tt6905696/,52.0
319,Assassination Nation,201,5.9,56.0,13184.0,R,https://imdb.com/title/tt6205872/,59.0
320,Driven,201,6.3,55.0,4164.0,R,https://imdb.com/title/tt5592796/,63.0
321,White Boy Rick,201,6.4,59.0,23413.0,R,https://imdb.com/title/tt4537896/,64.0
322,Operation Finale,201,6.6,58.0,28628.0,PG-13,https://imdb.com/title/tt5208252/,66.0
323,Never Look Away,201,7.7,68.0,12680.0,R,https://imdb.com/title/tt5311542/,77.0
324,The Cloverfield Paradox,201,5.5,37.0,91337.0,PG-13,https://imdb.com/title/tt2548396/,55.0
325,The Professor,201,6.7,37.0,19389.0,R,https://imdb.com/title/tt6865690/,67.0
326,On the Basis of Sex,201,7.0,59.0,21122.0,PG-13,https://imdb.com/title/tt4669788/,70.0
327,Life of the Party,201,5.6,46.0,31285.0,PG-13,https://imdb.com/title/tt5619332/,56.0
328,Christopher Robin,201,7.3,60.0,64595.0,PG,https://imdb.com/title/tt4575576/,73.0
329,Boy Erased,201,6.9,69.0,28006.0,R,https://imdb.com/title/tt7008872/,69.0
330,The Commuter,201,6.3,56.0,98204.0,PG-13,https://imdb.com/title/tt1590193/,63.0
331,Johnny English Strikes Again,201,6.2,39.0,58327.0,PG,https://imdb.com/title/tt6921996/,62.0
332,Overboard,201,6.0,42.0,32076.0,PG-13,https://imdb.com/title/tt1563742/,60.0
333,Life Itself,201,6.8,21.0,15038.0,R,https://imdb.com/title/tt5989218/,68.0
334,Bigger,201,6.4,37.0,1879.0,PG-13,https://imdb.com/title/tt3226786/,64.0
335,Eighth Grade,201,7.4,89.0,57178.0,R,https://imdb.com/title/tt7014006/,74.0
336,Adrift,201,6.6,56.0,42342.0,PG-13,https://imdb.com/title/tt6306064/,66.0
337,Skyscraper,201,5.8,51.0,97931.0,PG-13,https://imdb.com/title/tt5758778/,58.0
338,Replicas,201,5.5,19.0,27912.0,PG-13,https://imdb.com/title/tt4154916/,55.0
339,Border,201,7.0,75.0,21494.0,R,https://imdb.com/title/tt5501104/,70.0
340,Mowgli: Legend of the Jungle,201,6.5,51.0,53518.0,PG-13,https://imdb.com/title/tt2388771/,65.0
341,Wildlife,201,6.8,80.0,20800.0,PG-13,https://imdb.com/title/tt5929754/,68.0
342,Night School,201,5.6,43.0,31372.0,PG-13,https://imdb.com/title/tt6781982/,56.0
343,Unsane,201,6.4,63.0,37827.0,R,https://imdb.com/title/tt7153766/,64.0
344,A Million Little Pieces,201,6.2,45.0,1327.0,R,https://imdb.com/title/tt0427543/,62.0
345,Lady Bird,201,7.4,94.0,221888.0,R,https://imdb.com/title/tt4925292/,74.0
346,The Disaster Artist,201,7.4,76.0,130038.0,R,https://imdb.com/title/tt3521126/,74.0
347,Justice League,201,6.4,45.0,365857.0,PG-13,https://imdb.com/title/tt0974015/,64.0
348,Guardians of the Galaxy Vol. 2,201,7.6,67.0,542369.0,PG-13,https://imdb.com/title/tt3896198/,76.0
349,Get Out,201,7.7,85.0,463340.0,R,https://imdb.com/title/tt5052448/,77.0
350,Call Me by Your Name,201,7.9,93.0,193635.0,R,https://imdb.com/title/tt5726616/,79.0
351,Blade Runner 2049,201,8.0,81.0,433067.0,R,https://imdb.com/title/tt1856101/,80.0
352,Thor: Ragnarok,201,7.9,74.0,555148.0,PG-13,https://imdb.com/title/tt3501632/,79.0
353,It,201,7.3,69.0,436125.0,R,https://imdb.com/title/tt1396484/,73.0
354,King Arthur: Legend of the Sword,201,6.7,41.0,184636.0,PG-13,https://imdb.com/title/tt1972591/,67.0
355,Beauty and the Beast,201,7.1,65.0,260566.0,PG,https://imdb.com/title/tt2771200/,71.0
356,The Square,201,7.2,73.0,51825.0,R,https://imdb.com/title/tt4995790/,72.0
357,Dunkirk,201,7.9,94.0,520962.0,PG-13,https://imdb.com/title/tt5013056/,79.0
358,Pirates of the Caribbean: Dead Men Tell No Tales,201,6.6,39.0,250820.0,PG-13,https://imdb.com/title/tt1790809/,66.0
359,Logan,201,8.1,77.0,619042.0,R,https://imdb.com/title/tt3315342/,81.0
360,Killing Gunther,201,4.7,53.0,10639.0,R,https://imdb.com/title/tt5689068/,47.0
361,Spider-Man: Homecoming,201,7.4,73.0,487063.0,PG-13,https://imdb.com/title/tt2250912/,74.0
362,Baby Driver,201,7.6,86.0,413775.0,R,https://imdb.com/title/tt3890160/,76.0
363,The Greatest Showman,201,7.6,48.0,221727.0,PG,https://imdb.com/title/tt1485796/,76.0
364,Before I Fall,201,6.4,58.0,43695.0,PG-13,https://imdb.com/title/tt1691916/,64.0
365,Baywatch,201,5.5,37.0,153982.0,R,https://imdb.com/title/tt1469304/,55.0
366,"Three Billboards Outside Ebbing, Missouri",201,8.2,88.0,402239.0,R,https://imdb.com/title/tt5027774/,82.0
367,Jumanji: Welcome to the Jungle,201,6.9,58.0,302987.0,PG-13,https://imdb.com/title/tt2283362/,69.0
368,The Killing of a Sacred Deer,201,7.0,73.0,112544.0,R,https://imdb.com/title/tt5715874/,70.0
369,Wonder Woman,201,7.4,76.0,529655.0,PG-13,https://imdb.com/title/tt0451279/,74.0
370,Molly's Game,201,7.4,71.0,129936.0,R,https://imdb.com/title/tt4209788/,74.0
371,Wind River,201,7.7,73.0,191988.0,R,https://imdb.com/title/tt5362988/,77.0
372,Star Wars: Episode VIII - The Last Jedi,201,7.0,84.0,541595.0,PG-13,https://imdb.com/title/tt2527336/,70.0
373,Kingsman: The Golden Circle,201,6.7,44.0,257892.0,R,https://imdb.com/title/tt4649466/,67.0
374,Murder on the Orient Express,201,6.5,52.0,199734.0,PG-13,https://imdb.com/title/tt3402236/,65.0
375,Good Time,201,7.4,80.0,75826.0,R,https://imdb.com/title/tt4846232/,74.0
376,Coco,201,8.4,81.0,342666.0,PG,https://imdb.com/title/tt2380307/,84.0
377,The Shape of Water,201,7.3,87.0,352205.0,R,https://imdb.com/title/tt5580390/,73.0
378,Alien: Covenant,201,6.4,65.0,245206.0,R,https://imdb.com/title/tt2316204/,64.0
379,The Post,201,7.2,83.0,127016.0,PG-13,https://imdb.com/title/tt6294822/,72.0
380,Kong: Skull Island,201,6.6,62.0,259190.0,PG-13,https://imdb.com/title/tt3731562/,66.0
381,John Wick: Chapter 2,201,7.5,75.0,346043.0,R,https://imdb.com/title/tt4425200/,75.0
382,"I, Tonya",201,7.5,77.0,169710.0,R,https://imdb.com/title/tt5580036/,75.0
383,Mother!,201,6.6,75.0,181466.0,R,https://imdb.com/title/tt5109784/,66.0
384,Logan Lucky,201,7.0,78.0,121345.0,PG-13,https://imdb.com/title/tt5439796/,70.0
385,The Florida Project,201,7.6,92.0,86929.0,R,https://imdb.com/title/tt5649144/,76.0
386,Pitch Perfect 3,201,5.8,40.0,52698.0,PG-13,https://imdb.com/title/tt4765284/,58.0
387,Darkest Hour,201,7.4,75.0,162297.0,PG-13,https://imdb.com/title/tt4555426/,74.0
388,Transformers: The Last Knight,201,5.2,27.0,130534.0,PG-13,https://imdb.com/title/tt3371366/,52.0
389,It Comes At Night,201,6.2,78.0,79304.0,R,https://imdb.com/title/tt4695012/,62.0
390,The Fate of the Furious,201,6.7,56.0,196923.0,PG-13,https://imdb.com/title/tt4630562/,67.0
391,Wonder,201,8.0,66.0,130691.0,PG,https://imdb.com/title/tt2543472/,80.0
392,The Death of Stalin,201,7.2,88.0,79549.0,R,https://imdb.com/title/tt4686844/,72.0
393,Valerian and the City of a Thousand Planets,201,6.5,51.0,155414.0,PG-13,https://imdb.com/title/tt2239822/,65.0
394,Fifty Shades Darker,201,4.6,33.0,88233.0,R,https://imdb.com/title/tt4465564/,46.0
395,Downsizing,201,5.7,63.0,93589.0,R,https://imdb.com/title/tt1389072/,57.0
396,Mudbound,201,7.4,85.0,39605.0,R,https://imdb.com/title/tt2396589/,74.0
397,Ghost in the Shell,201,6.3,52.0,189806.0,PG-13,https://imdb.com/title/tt1219827/,63.0
398,The Dark Tower,201,5.6,34.0,121751.0,PG-13,https://imdb.com/title/tt1648190/,56.0
399,The Mummy,201,5.4,34.0,167254.0,PG-13,https://imdb.com/title/tt2345759/,54.0
400,Rememory,201,6.2,48.0,14611.0,PG-13,https://imdb.com/title/tt2331047/,62.0
401,Marshall,201,7.2,66.0,17275.0,PG-13,https://imdb.com/title/tt5301662/,72.0
402,The Foreigner,201,7.0,55.0,93958.0,R,https://imdb.com/title/tt1615160/,70.0
403,Phantom Thread,201,7.5,90.0,103846.0,R,https://imdb.com/title/tt5776858/,75.0
404,American Made,201,7.2,65.0,151107.0,R,https://imdb.com/title/tt3532216/,72.0
405,You Were Never Really Here,201,6.8,84.0,94431.0,R,https://imdb.com/title/tt5742374/,68.0
406,Hostiles,201,7.2,65.0,65048.0,R,https://imdb.com/title/tt5478478/,72.0
407,Only the Brave,201,7.6,72.0,53743.0,PG-13,https://imdb.com/title/tt3829920/,76.0
408,Life,201,6.6,54.0,198999.0,R,https://imdb.com/title/tt5442430/,66.0
409,Detroit,201,7.3,77.0,45483.0,R,https://imdb.com/title/tt5390504/,73.0
410,Gifted,201,7.6,60.0,93896.0,PG-13,https://imdb.com/title/tt4481414/,76.0
411,Atomic Blonde,201,6.7,63.0,167770.0,R,https://imdb.com/title/tt2406566/,67.0
412,War for the Planet of the Apes,201,7.4,82.0,219394.0,PG-13,https://imdb.com/title/tt3450958/,74.0
413,Happy Death Day,201,6.5,58.0,108182.0,PG-13,https://imdb.com/title/tt5308322/,65.0
414,American Assassin,201,6.2,45.0,66238.0,R,https://imdb.com/title/tt1961175/,62.0
415,Papillon,201,7.2,51.0,47431.0,R,https://imdb.com/title/tt5093026/,72.0
416,The Circle,201,5.3,43.0,80185.0,PG-13,https://imdb.com/title/tt4287320/,53.0
417,Rough Night,201,5.2,51.0,44845.0,R,https://imdb.com/title/tt4799050/,52.0
418,The Big Sick,201,7.5,86.0,115535.0,R,https://imdb.com/title/tt5462602/,75.0
419,The Upside,201,6.9,46.0,41341.0,PG-13,https://imdb.com/title/tt1987680/,69.0
420,The Glass Castle,201,7.1,56.0,27619.0,PG-13,https://imdb.com/title/tt2378507/,71.0
421,Suburbicon,201,5.7,42.0,38277.0,R,https://imdb.com/title/tt0491175/,57.0
422,Power Rangers,201,5.9,44.0,99197.0,PG-13,https://imdb.com/title/tt3717490/,59.0
423,The Current War: Director's Cut,201,6.5,55.0,14622.0,PG-13,https://imdb.com/title/tt2140507/,65.0
424,LA 92,201,8.2,66.0,4115.0,R,https://imdb.com/title/tt6794424/,82.0
425,Geostorm,201,5.3,21.0,89481.0,PG-13,https://imdb.com/title/tt1981128/,53.0
426,Hot Summer Nights,201,6.4,44.0,11518.0,R,https://imdb.com/title/tt3416536/,64.0
427,Shot Caller,201,7.3,59.0,67522.0,R,https://imdb.com/title/tt4633690/,73.0
428,A Ghost Story,201,6.9,84.0,55679.0,R,https://imdb.com/title/tt6265828/,69.0
429,The Layover,201,4.7,15.0,12331.0,R,https://imdb.com/title/tt4565520/,47.0
430,The Hitman's Bodyguard,201,6.9,47.0,178561.0,R,https://imdb.com/title/tt1959563/,69.0
431,Aftermath,201,5.6,44.0,20963.0,R,https://imdb.com/title/tt4581576/,56.0
432,Disobedience,201,6.6,74.0,23080.0,R,https://imdb.com/title/tt6108178/,66.0
433,Annabelle: Creation,201,6.5,62.0,106235.0,R,https://imdb.com/title/tt5140878/,65.0
434,All the Money in the World,201,6.8,72.0,69670.0,R,https://imdb.com/title/tt5294550/,68.0
435,Revenge,201,6.3,81.0,33295.0,R,https://imdb.com/title/tt6738136/,63.0
436,My Friend Dahmer,201,6.2,68.0,14994.0,R,https://imdb.com/title/tt2291540/,62.0
437,The Lego Batman Movie,201,7.3,75.0,126815.0,PG,https://imdb.com/title/tt4116284/,73.0
438,The Wife,201,7.2,77.0,32399.0,R,https://imdb.com/title/tt3750872/,72.0
439,Professor Marston & the Wonder Women,201,7.1,68.0,21700.0,R,https://imdb.com/title/tt6133130/,71.0
440,xXx: Return of Xander Cage,201,5.2,42.0,82899.0,PG-13,https://imdb.com/title/tt1293847/,52.0
441,Girls Trip,201,6.2,71.0,32746.0,R,https://imdb.com/title/tt3564472/,62.0
442,"Roman J. Israel, Esq.",201,6.5,58.0,29696.0,PG-13,https://imdb.com/title/tt6000478/,65.0
443,Hangman,201,5.2,31.0,13354.0,R,https://imdb.com/title/tt3011960/,52.0
444,Thoroughbreds,201,6.7,75.0,31621.0,R,https://imdb.com/title/tt5649108/,67.0
445,Jungle,201,6.7,48.0,42722.0,R,https://imdb.com/title/tt3758172/,67.0
446,47 Meters Down,201,5.6,52.0,46191.0,PG-13,https://imdb.com/title/tt2932536/,56.0
447,The Beguiled,201,6.3,77.0,49212.0,R,https://imdb.com/title/tt5592248/,63.0
448,First Reformed,201,7.1,85.0,43798.0,R,https://imdb.com/title/tt6053438/,71.0
449,Crooked House,201,6.3,59.0,16407.0,PG-13,https://imdb.com/title/tt1869347/,63.0
450,Chips,201,6.0,28.0,41077.0,R,https://imdb.com/title/tt0493405/,60.0
451,Sleepless,201,5.6,34.0,28675.0,R,https://imdb.com/title/tt2072233/,56.0
452,First Kill,201,5.0,39.0,9564.0,R,https://imdb.com/title/tt5884234/,50.0
453,The Snowman,201,5.1,23.0,55562.0,R,https://imdb.com/title/tt1758810/,51.0
454,Home Again,201,5.8,41.0,26320.0,PG-13,https://imdb.com/title/tt5719700/,58.0
455,Going in Style,201,6.6,50.0,73758.0,PG-13,https://imdb.com/title/tt2568862/,66.0
456,Ferdinand,201,6.7,58.0,45606.0,PG,https://imdb.com/title/tt3411444/,67.0
457,Attraction,201,5.5,,9394.0,R,https://imdb.com/title/tt4731148/,55.0
458,A Dog's Purpose,201,7.2,43.0,62574.0,PG,https://imdb.com/title/tt1753383/,72.0
459,T2 Trainspotting,201,7.2,67.0,108008.0,R,https://imdb.com/title/tt2763304/,72.0
460,Marrowbone,201,6.7,63.0,21061.0,R,https://imdb.com/title/tt5886440/,67.0
461,The Emoji Movie,201,3.3,12.0,53303.0,PG,https://imdb.com/title/tt4877122/,33.0
462,Paddington 2,201,7.8,88.0,56748.0,PG,https://imdb.com/title/tt4468740/,78.0
463,The Boss Baby,201,6.3,50.0,103733.0,PG,https://imdb.com/title/tt3874544/,63.0
464,Jigsaw,201,5.8,39.0,64880.0,R,https://imdb.com/title/tt3348730/,58.0
465,Ingrid Goes West,201,6.6,71.0,33629.0,R,https://imdb.com/title/tt5962210/,66.0
466,Despicable Me 3,201,6.3,49.0,106829.0,PG,https://imdb.com/title/tt3469046/,63.0
467,Moana,201,7.6,81.0,254831.0,PG,https://imdb.com/title/tt3521164/,76.0
468,Moonlight,201,7.4,99.0,258495.0,R,https://imdb.com/title/tt4975722/,74.0
469,Suicide Squad,201,6.0,40.0,580675.0,PG-13,https://imdb.com/title/tt1386697/,60.0
470,Rogue One: A Star Wars Story,201,7.8,65.0,532823.0,PG-13,https://imdb.com/title/tt3748528/,78.0
471,Miss Peregrine's Home for Peculiar Children,201,6.7,57.0,150497.0,PG-13,https://imdb.com/title/tt1935859/,67.0
472,La La Land,201,8.0,94.0,480573.0,PG-13,https://imdb.com/title/tt3783958/,80.0
473,Batman v Superman: Dawn of Justice,201,6.5,44.0,607069.0,PG-13,https://imdb.com/title/tt2975590/,65.0
474,Zootopia,201,8.0,78.0,415900.0,PG,https://imdb.com/title/tt2948356/,80.0
475,Arrival,201,7.9,81.0,567618.0,PG-13,https://imdb.com/title/tt2543164/,79.0
476,The Nice Guys,201,7.4,70.0,265358.0,R,https://imdb.com/title/tt3799694/,74.0
477,Hacksaw Ridge,201,8.1,71.0,411003.0,R,https://imdb.com/title/tt2119532/,81.0
478,Doctor Strange,201,7.5,72.0,571226.0,PG-13,https://imdb.com/title/tt1211837/,75.0
479,Captain America: Civil War,201,7.8,75.0,636849.0,PG-13,https://imdb.com/title/tt3498820/,78.0
480,Deadpool,201,8.0,65.0,874406.0,R,https://imdb.com/title/tt1431045/,80.0
481,Your Name.,201,8.4,79.0,171345.0,PG,https://imdb.com/title/tt5311514/,84.0
482,Jack Reacher: Never Go Back,201,6.1,47.0,132510.0,PG-13,https://imdb.com/title/tt3393786/,61.0
483,Fantastic Beasts and Where to Find Them,201,7.3,66.0,394207.0,PG-13,https://imdb.com/title/tt3183660/,73.0
484,Captain Fantastic,201,7.9,72.0,178917.0,R,https://imdb.com/title/tt3553976/,79.0
485,Hidden Figures,201,7.8,74.0,190094.0,PG,https://imdb.com/title/tt4846340/,78.0
486,The Magnificent Seven,201,6.9,54.0,179386.0,PG-13,https://imdb.com/title/tt2404435/,69.0
487,Split,201,7.3,62.0,403224.0,PG-13,https://imdb.com/title/tt4972582/,73.0
488,I Am Not Your Negro,201,7.9,95.0,16796.0,PG-13,https://imdb.com/title/tt5804038/,79.0
489,Me Before You,201,7.4,51.0,196528.0,PG-13,https://imdb.com/title/tt2674426/,74.0
490,Assassin's Creed,201,5.7,36.0,179306.0,PG-13,https://imdb.com/title/tt2094766/,57.0
491,Nocturnal Animals,201,7.5,67.0,226053.0,R,https://imdb.com/title/tt4550098/,75.0
492,The Legend of Tarzan,201,6.2,44.0,159207.0,PG-13,https://imdb.com/title/tt0918940/,62.0
493,Inferno,201,6.2,42.0,151948.0,PG-13,https://imdb.com/title/tt3062096/,62.0
494,Star Trek Beyond,201,7.1,68.0,221027.0,PG-13,https://imdb.com/title/tt2660888/,71.0
495,13 Hours,201,7.3,48.0,113169.0,R,https://imdb.com/title/tt4172430/,73.0
496,X-Men: Apocalypse,201,6.9,52.0,381029.0,PG-13,https://imdb.com/title/tt3385516/,69.0
497,Manchester by the Sea,201,7.8,96.0,235173.0,R,https://imdb.com/title/tt4034228/,78.0
498,The Neon Demon,201,6.2,51.0,80056.0,R,https://imdb.com/title/tt1974419/,62.0
499,Passengers,201,7.0,41.0,336093.0,PG-13,https://imdb.com/title/tt1355644/,70.0
500,Sing,201,7.1,59.0,127845.0,PG,https://imdb.com/title/tt3470600/,71.0
501,The Accountant,201,7.3,51.0,250777.0,R,https://imdb.com/title/tt2140479/,73.0
502,Independence Day: Resurgence,201,5.2,32.0,162241.0,PG-13,https://imdb.com/title/tt1628841/,52.0
503,Don't Breathe,201,7.1,71.0,208693.0,R,https://imdb.com/title/tt4160708/,71.0
504,The Boy,201,6.0,42.0,76105.0,PG-13,https://imdb.com/title/tt3882082/,60.0
505,Sausage Party,201,6.1,66.0,170151.0,R,https://imdb.com/title/tt1700841/,61.0
506,Lion,201,8.0,69.0,203397.0,PG-13,https://imdb.com/title/tt3741834/,80.0
507,The Edge of Seventeen,201,7.3,77.0,98228.0,R,https://imdb.com/title/tt1878870/,73.0
508,The Girl on the Train,201,6.5,48.0,163068.0,R,https://imdb.com/title/tt3631112/,65.0
509,Hell or High Water,201,7.6,88.0,195017.0,R,https://imdb.com/title/tt2582782/,76.0
510,Loving,201,7.0,79.0,30250.0,PG-13,https://imdb.com/title/tt4669986/,70.0
511,Deepwater Horizon,201,7.1,68.0,144852.0,PG-13,https://imdb.com/title/tt1860357/,71.0
512,Jason Bourne,201,6.6,58.0,202055.0,PG-13,https://imdb.com/title/tt4196776/,66.0
513,Trolls,201,6.5,55.0,69082.0,PG,https://imdb.com/title/tt1679335/,65.0
514,Central Intelligence,201,6.3,52.0,152735.0,PG-13,https://imdb.com/title/tt1489889/,63.0
515,Blood Father,201,6.4,66.0,57426.0,R,https://imdb.com/title/tt3647498/,64.0
516,Gods of Egypt,201,5.4,25.0,101895.0,PG-13,https://imdb.com/title/tt2404233/,54.0
517,Now You See Me 2,201,6.5,46.0,237474.0,PG-13,https://imdb.com/title/tt3110958/,65.0
518,"Hail, Caesar!",201,6.3,72.0,119958.0,PG-13,https://imdb.com/title/tt0475290/,63.0
519,Warcraft,201,6.8,32.0,236582.0,PG-13,https://imdb.com/title/tt0803096/,68.0
520,Swiss Army Man,201,7.0,64.0,101271.0,R,https://imdb.com/title/tt4034354/,70.0
521,Dirty Grandpa,201,5.9,21.0,109327.0,R,https://imdb.com/title/tt1860213/,59.0
522,The Lost City of Z,201,6.6,78.0,74812.0,PG-13,https://imdb.com/title/tt1212428/,66.0
523,The Shallows,201,6.3,59.0,115800.0,PG-13,https://imdb.com/title/tt4052882/,63.0
524,10 Cloverfield Lane,201,7.2,76.0,280102.0,PG-13,https://imdb.com/title/tt1179933/,72.0
525,The Conjuring 2,201,7.3,65.0,215093.0,R,https://imdb.com/title/tt3065204/,73.0
526,The Autopsy of Jane Doe,201,6.8,65.0,90465.0,R,https://imdb.com/title/tt3289956/,68.0
527,Hunt for the Wilderpeople,201,7.9,81.0,102356.0,PG-13,https://imdb.com/title/tt4698684/,79.0
528,Silence,201,7.2,79.0,95704.0,R,https://imdb.com/title/tt0490215/,72.0
529,The Jungle Book,201,7.4,77.0,252814.0,PG,https://imdb.com/title/tt3040964/,74.0
530,Ghostbusters,201,5.2,60.0,198158.0,PG-13,https://imdb.com/title/tt1289401/,52.0
531,War Dogs,201,7.1,57.0,169616.0,R,https://imdb.com/title/tt2005151/,71.0
532,How to Be Single,201,6.1,51.0,78832.0,R,https://imdb.com/title/tt1292566/,61.0
533,Lights Out,201,6.3,58.0,110160.0,PG-13,https://imdb.com/title/tt4786282/,63.0
534,Sully,201,7.4,74.0,225907.0,PG-13,https://imdb.com/title/tt3263904/,74.0
535,Hush,201,6.6,67.0,94218.0,R,https://imdb.com/title/tt5022702/,66.0
536,Underworld: Blood Wars,201,5.8,23.0,67348.0,R,https://imdb.com/title/tt3717252/,58.0
537,Why Him?,201,6.2,39.0,97369.0,R,https://imdb.com/title/tt4501244/,62.0
538,Allegiant,201,5.7,33.0,104163.0,PG-13,https://imdb.com/title/tt3410834/,57.0
539,Ben-Hur,201,5.7,38.0,40444.0,PG-13,https://imdb.com/title/tt2638144/,57.0
540,Allied,201,7.1,60.0,136237.0,R,https://imdb.com/title/tt3640424/,71.0
541,Finding Dory,201,7.3,77.0,230793.0,PG,https://imdb.com/title/tt2277860/,73.0
542,Bad Moms,201,6.2,60.0,109830.0,R,https://imdb.com/title/tt4651520/,62.0
543,The Founder,201,7.2,66.0,113365.0,PG-13,https://imdb.com/title/tt4276820/,72.0
544,Resident Evil: The Final Chapter,201,5.5,49.0,81018.0,R,https://imdb.com/title/tt2592614/,55.0
545,Teenage Mutant Ninja Turtles: Out of the Shadows,201,6.0,40.0,81883.0,PG-13,https://imdb.com/title/tt3949660/,60.0
546,The Bad Batch,201,5.3,62.0,24742.0,R,https://imdb.com/title/tt4334266/,53.0
547,London Has Fallen,201,5.9,28.0,139589.0,R,https://imdb.com/title/tt3300542/,59.0
548,The 5th Wave,201,5.2,33.0,96557.0,PG-13,https://imdb.com/title/tt2304933/,52.0
549,American Honey,201,7.0,79.0,35899.0,R,https://imdb.com/title/tt3721936/,70.0
550,A Cure for Wellness,201,6.4,47.0,80562.0,R,https://imdb.com/title/tt4731136/,64.0
551,The Secret Life of Pets,201,6.5,61.0,177632.0,PG,https://imdb.com/title/tt2709768/,65.0
552,Snowden,201,7.3,58.0,130068.0,R,https://imdb.com/title/tt3774114/,73.0
553,The Girl with All the Gifts,201,6.6,67.0,52059.0,R,https://imdb.com/title/tt4547056/,66.0
554,Patriots Day,201,7.4,69.0,84259.0,R,https://imdb.com/title/tt4572514/,74.0
555,Mike and Dave Need Wedding Dates,201,6.0,51.0,79936.0,R,https://imdb.com/title/tt2823054/,60.0
556,Pride and Prejudice and Zombies,201,5.8,45.0,49612.0,PG-13,https://imdb.com/title/tt1374989/,58.0
557,Paterson,201,7.4,90.0,65497.0,R,https://imdb.com/title/tt5247022/,74.0
558,Fences,201,7.2,79.0,94189.0,PG-13,https://imdb.com/title/tt2671706/,72.0
559,The Assignment,201,4.6,34.0,7046.0,R,https://imdb.com/title/tt5034474/,46.0
560,Spectral,201,6.3,,49144.0,PG-13,https://imdb.com/title/tt2106651/,63.0
561,Nerve,201,6.5,58.0,111104.0,PG-13,https://imdb.com/title/tt3531824/,65.0
562,The Great Wall,201,5.9,42.0,120755.0,PG-13,https://imdb.com/title/tt2034800/,59.0
563,Criminal,201,6.3,36.0,56893.0,R,https://imdb.com/title/tt3014866/,63.0
564,The Take,201,6.3,48.0,34306.0,R,https://imdb.com/title/tt2368619/,63.0
