,movie,year,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross
3671,Iron Eagle,1986,5.5,41.0,12976,3,Action,Thriller,War,Louis Gossett Jr.,Jason Gedrick,David Suchet,0,0.0,0.0,117.0,,24159872.0
3672,Mona Lisa,1986,7.3,85.0,12664,1,Crime,Drama,Romance,Bob Hoskins,Cathy Tyson,Michael Caine,1,13.0,13.0,104.0,,5794184.0
3673,SpaceCamp,1986,5.7,40.0,12662,2,Adventure,Family,Sci-Fi,Kate Capshaw,Lea Thompson,Kelly Preston,0,0.0,1.0,107.0,18000000.0,9697739.0
3674,Psycho III,1986,5.4,58.0,12503,1,Horror,Mystery,Thriller,Anthony Perkins,Diana Scarwid,Jeff Fahey,0,0.0,2.0,93.0,,14481606.0
3675,Youngblood,1986,6.2,51.0,11960,1,Drama,Romance,Sport,Rob Lowe,Cynthia Gibb,Patrick Swayze,0,0.0,1.0,110.0,,15448384.0
3676,Wildcats,1986,6.0,41.0,11566,1,Comedy,Sport,,Goldie Hawn,Swoosie Kurtz,Robyn Lively,0,0.0,2.0,106.0,,26285544.0
3677,Gung Ho,1986,6.3,48.0,11354,3,Comedy,Drama,,Michael Keaton,Gedde Watanabe,George Wendt,0,0.0,1.0,112.0,18000000.0,36611610.0
3678,The Big Easy,1986,6.5,77.0,11294,1,Comedy,Crime,Drama,Dennis Quaid,Ellen Barkin,Ned Beatty,0,4.0,4.0,102.0,,17685307.0
3679,Chopping Mall,1986,5.6,22.0,11118,1,Comedy,Horror,Sci-Fi,Kelli Maroney,Tony O'Dell,Russell Todd,0,0.0,0.0,77.0,800000.0,
3680,Kin-dza-dza!,1986,8.1,7.8,11026,3,Comedy,Drama,Sci-Fi,Stanislav Lyubshin,Evgeniy Leonov,Yuriy Yakovlev,0,3.0,1.0,135.0,,
3681,Clockwise,1986,6.6,7.8,11007,2,Comedy,,,John Cleese,Penny Leatherbarrow,Howard Lloyd-Lewis,0,0.0,1.0,96.0,,1476356.0
3682,Running Scared,1986,6.6,49.0,10995,1,Action,Comedy,Crime,Gregory Hines,Billy Crystal,Steven Bauer,1,,1.0,107.0,,38500726.0
3683,Armed and Dangerous,1986,5.7,17.0,10402,3,Action,Comedy,Crime,John Candy,Meg Ryan,Eugene Levy,0,0.0,0.0,88.0,12000000.0,15945534.0
3684,She's Gotta Have It,1986,6.7,79.0,10228,1,Comedy,Romance,,Tracy Camilla Johns,Tommy Redmond Hicks,John Canada Terrell,0,4.0,2.0,84.0,175000.0,7137502.0
3685,Legal Eagles,1986,6.0,57.0,9742,2,Comedy,Crime,Romance,Robert Redford,Debra Winger,Daryl Hannah,0,0.0,1.0,116.0,40000000.0,93151591.0
3686,Heartburn,1986,6.1,49.0,9094,1,Comedy,Drama,,Meryl Streep,Jack Nicholson,Jeff Daniels,0,1.0,1.0,108.0,20000000.0,25314189.0
3687,Troll,1986,4.5,30.0,8975,3,Comedy,Fantasy,Horror,Michael Moriarty,Shelley Hack,Noah Hathaway,0,0.0,1.0,82.0,1100000.0,5450815.0
3688,Allan Quatermain and the Lost City of Gold,1986,4.6,7.8,8588,2,Action,Adventure,Comedy,Richard Chamberlain,Sharon Stone,James Earl Jones,0,0.0,1.0,99.0,13000000.0,3751699.0
3689,Demons 2,1986,6.0,7.8,8489,1,Horror,,,David Edwin Knight,Nancy Brilli,Coralina Cataldi-Tassoni,0,0.0,0.0,92.0,1500000.0,
3690,Class of Nuke 'Em High,1986,5.7,7.8,7675,1,Comedy,Horror,Sci-Fi,Janelle Brady,Gil Brenton,Robert Prichard,0,0.0,0.0,85.0,400000.0,
3691,Pirates,1986,6.1,32.0,7659,3,Adventure,Comedy,Family,Walter Matthau,Cris Campion,Damien Thomas,1,2.0,1.0,121.0,40000000.0,1641825.0
3692,The Decline of the American Empire,1986,7.2,60.0,7618,1,Comedy,Drama,,Dominique Michel,Dorothée Berryman,Louise Portal,1,13.0,6.0,101.0,1800000.0,1915792.0
3693,Invaders from Mars,1986,5.6,56.0,7594,2,Horror,Sci-Fi,,Karen Black,Hunter Carson,Timothy Bottoms,0,0.0,2.0,100.0,12000000.0,4884663.0
3694,Soul Man,1986,5.3,33.0,7423,3,Comedy,Romance,,C. Thomas Howell,Rae Dawn Chong,Arye Gross,0,0.0,0.0,104.0,,27820000.0
3695,Gothic,1986,5.8,7.8,6954,1,Drama,Fantasy,Horror,Gabriel Byrne,Julian Sands,Natasha Richardson,0,2.0,1.0,87.0,,916172.0
3696,No Mercy,1986,5.7,54.0,6608,1,Crime,Drama,Romance,Richard Gere,Kim Basinger,Jeroen Krabbé,0,0.0,1.0,106.0,14000000.0,12303904.0
3697,Haunted Honeymoon,1986,5.7,7.8,6544,2,Comedy,,,Gene Wilder,Gilda Radner,Dom DeLuise,0,0.0,1.0,82.0,13000000.0,8033397.0
3698,Deadly Friend,1986,5.6,44.0,6472,1,Drama,Horror,Sci-Fi,Matthew Labyorteaux,Kristy Swanson,Michael Sharrett,0,0.0,3.0,91.0,,8988731.0
3699,The Best of Times,1986,6.0,57.0,6418,3,Comedy,Drama,Sport,Robin Williams,Kurt Russell,Pamela Reed,0,0.0,0.0,104.0,12000000.0,7817314.0
3700,Tough Guys,1986,6.3,54.0,6393,2,Comedy,Crime,,Burt Lancaster,Kirk Douglas,Charles Durning,1,0.0,0.0,104.0,10000000.0,21458229.0
3701,Nothing in Common,1986,5.9,62.0,6249,2,Comedy,Drama,Romance,Tom Hanks,Jackie Gleason,Eva Marie Saint,0,0.0,1.0,118.0,,32324557.0
3702,TerrorVision,1986,5.7,7.8,6175,1,Comedy,Horror,Sci-Fi,Diane Franklin,Mary Woronov,Gerrit Graham,0,0.0,1.0,83.0,,320256.0
3703,Summer,1986,7.7,7.8,6081,1,Drama,Romance,,Marie Rivière,María Luisa García,Vincent Gauthier,0,0.0,5.0,99.0,,63137.0
3704,Lady Jane,1986,7.1,64.0,5977,3,Biography,Drama,History,Helena Bonham Carter,Cary Elwes,John Wood,0,0.0,0.0,136.0,8500000.0,277646.0
3705,Witchboard,1986,5.7,45.0,5976,1,Horror,Mystery,Thriller,Todd Allen,Tawny Kitaen,Stephen Nichols,0,0.0,0.0,98.0,2000000.0,7369373.0
3706,The Clan of the Cave Bear,1986,5.4,34.0,5932,1,Adventure,Drama,Fantasy,Daryl Hannah,Pamela Reed,James Remar,1,0.0,0.0,98.0,15000000.0,1953732.0
3707,Club Paradise,1986,5.1,40.0,5729,3,Comedy,,,Robin Williams,Peter O'Toole,Rick Moranis,0,0.0,1.0,96.0,15000000.0,12308521.0
3708,Firewalker,1986,5.2,37.0,5727,2,Action,Adventure,Comedy,Chuck Norris,Louis Gossett Jr.,Melody Anderson,0,0.0,0.0,105.0,8000000.0,11949484.0
3709,Trick or Treat,1986,5.8,57.0,5690,1,Comedy,Horror,Music,Marc Price,Tony Fields,Lisa Orgolini,0,0.0,0.0,98.0,,6797218.0
3710,The Morning After,1986,5.9,7.8,5660,1,Crime,Mystery,Romance,Jane Fonda,Jeff Bridges,Raul Julia,1,0.0,0.0,103.0,,25147055.0
3711,True Stories,1986,7.2,67.0,5470,2,Musical,Comedy,,David Byrne,John Goodman,Annie McEnroe,0,1.0,2.0,89.0,,2545142.0
3712,The Manhattan Project,1986,6.2,61.0,5276,3,Sci-Fi,Thriller,,John Lithgow,Christopher Collet,Richard Council,0,1.0,1.0,117.0,18000000.0,3900000.0
3713,The Boy Who Could Fly,1986,6.5,67.0,5271,2,Drama,Fantasy,Romance,Lucy Deakins,Jay Underwood,Bonnie Bedelia,0,3.0,5.0,114.0,,7177431.0
3714,King Kong Lives,1986,3.9,32.0,5238,3,Action,Adventure,,Brian Kerwin,Linda Hamilton,Peter Elliott,0,0.0,2.0,105.0,10000000.0,4711220.0
3715,Wise Guys,1986,5.7,62.0,5205,1,Comedy,Crime,,Danny DeVito,Joe Piscopo,Harvey Keitel,0,0.0,0.0,100.0,13000000.0,8475466.0
3716,Slaughter High,1986,5.3,7.8,5067,1,Horror,Thriller,,Caroline Munro,Simon Scuddamore,Carmine Iannaccone,0,0.0,0.0,90.0,,
3717,Black Moon Rising,1986,5.5,53.0,4997,1,Action,Crime,Thriller,Tommy Lee Jones,Linda Hamilton,Robert Vaughn,0,0.0,1.0,100.0,,6637565.0
3718,Shanghai Surprise,1986,3.2,16.0,4877,3,Adventure,Comedy,Crime,Sean Penn,Madonna,Paul Freeman,0,1.0,6.0,97.0,17000000.0,2315683.0
3719,Rad,1986,7.0,24.0,4842,2,Drama,Sport,,Bart Conner,Lori Loughlin,Bill Allen,0,1.0,1.0,91.0,,2015882.0
3720,52 Pick-Up,1986,6.4,55.0,4707,1,Crime,Drama,Thriller,Roy Scheider,Ann-Margret,Vanity,0,0.0,1.0,110.0,,5186646.0
3721,Vamp,1986,5.9,7.8,4704,1,Comedy,Fantasy,Horror,Chris Makepeace,Sandy Baron,Robert Rusler,0,0.0,2.0,93.0,3300000.0,4941117.0
3722,Murphy's Law,1986,6.0,7.8,4616,1,Action,Crime,Drama,Charles Bronson,Kathleen Wilhoite,Carrie Snodgress,0,0.0,0.0,100.0,6000000.0,9947631.0
