,movie,year,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross
0,Gladiator,2000,8.5,67.0,1294870,1,Action,Adventure,Drama,Russell Crowe,Joaquin Phoenix,Connie Nielsen,5,54.0,104.0,155.0,103000000.0,460583960.0
1,Memento,2000,8.4,80.0,1088130,1,Mystery,Thriller,,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,2,57.0,56.0,113.0,9000000.0,39723096.0
2,Snatch,2000,8.3,55.0,760320,1,Comedy,Crime,,Jason Statham,Brad Pitt,Benicio Del Toro,0,4.0,6.0,104.0,6000000.0,83557872.0
3,Requiem for a Dream,2000,8.3,68.0,741844,1,Drama,,,Ellen Burstyn,Jared Leto,Jennifer Connelly,1,35.0,69.0,102.0,4500000.0,7390108.0
4,X-Men,2000,7.4,64.0,558541,3,Action,Adventure,Sci-Fi,Patrick Stewart,Hugh Jackman,Ian McKellen,0,13.0,27.0,104.0,75000000.0,296339528.0
5,Cast Away,2000,7.8,73.0,505118,3,Adventure,Drama,Romance,Tom Hanks,Helen Hunt,Paul Sanchez,2,15.0,35.0,143.0,90000000.0,429632142.0
6,American Psycho,2000,7.6,64.0,466642,1,Comedy,Crime,Drama,Christian Bale,Justin Theroux,Josh Lucas,0,8.0,13.0,101.0,7000000.0,34266564.0
7,Unbreakable,2000,7.3,62.0,377278,3,Drama,Mystery,Sci-Fi,Bruce Willis,Samuel L. Jackson,Robin Wright,0,2.0,13.0,106.0,75000000.0,248118121.0
8,Mission: Impossible II,2000,6.1,59.0,305733,3,Action,Adventure,Thriller,Tom Cruise,Dougray Scott,Thandie Newton,0,12.0,20.0,123.0,125000000.0,546388108.0
9,Meet the Parents,2000,7.0,73.0,304149,3,Comedy,Romance,,Ben Stiller,Robert De Niro,Teri Polo,1,7.0,14.0,108.0,55000000.0,330444045.0
10,O Brother Where Art Thou?,2000,7.7,69.0,276566,3,Adventure,Comedy,Crime,George Clooney,John Turturro,Tim Blake Nelson,2,7.0,36.0,107.0,26000000.0,71868327.0
11,Gone in 60 Seconds,2000,6.5,35.0,255247,3,Action,Crime,Thriller,Nicolas Cage,Angelina Jolie,Giovanni Ribisi,0,9.0,6.0,118.0,90000000.0,237202299.0
12,The Patriot,2000,7.2,63.0,248651,1,Action,Drama,History,Mel Gibson,Heath Ledger,Joely Richardson,3,9.0,17.0,165.0,110000000.0,215294342.0
13,Crouching Tiger Hidden Dragon,2000,7.8,94.0,248201,3,Action,Adventure,Fantasy,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,4,97.0,133.0,120.0,17000000.0,213525736.0
14,Almost Famous,2000,7.9,90.0,245192,1,Adventure,Comedy,Drama,Billy Crudup,Patrick Fugit,Kate Hudson,1,52.0,103.0,122.0,60000000.0,47383689.0
15,Scary Movie,2000,6.2,48.0,226395,1,Comedy,,,Anna Faris,Jon Abrahams,Marlon Wayans,0,7.0,6.0,88.0,19000000.0,278019771.0
16,Final Destination,2000,6.7,36.0,223053,1,Horror,Thriller,,Devon Sawa,Ali Larter,Kerr Smith,0,3.0,4.0,98.0,23000000.0,112880294.0
17,Pitch Black,2000,7.1,49.0,221190,1,Action,Horror,Sci-Fi,Radha Mitchell,Cole Hauser,Vin Diesel,0,2.0,9.0,109.0,23000000.0,53187659.0
18,The Beach,2000,6.7,43.0,217807,1,Adventure,Drama,Romance,Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon,0,0.0,7.0,119.0,50000000.0,144056873.0
19,Me Myself & Irene,2000,6.6,49.0,217702,1,Comedy,,,Jim Carrey,Renée Zellweger,Anthony Anderson,0,2.0,4.0,116.0,51000000.0,149270999.0
20,Amores Perros,2000,8.1,83.0,217472,1,Drama,Thriller,,Emilio Echevarría,Gael García Bernal,Goya Toledo,1,55.0,23.0,154.0,2000000.0,20908467.0
21,How the Grinch Stole Christmas,2000,6.2,46.0,197000,2,Comedy,Family,Fantasy,Jim Carrey,Taylor Momsen,Kelley,1,17.0,37.0,104.0,123000000.0,345141403.0
22,Remember the Titans,2000,7.8,48.0,192561,2,Biography,Drama,Sport,Denzel Washington,Will Patton,Wood Harris,0,8.0,18.0,113.0,30000000.0,136706683.0
23,Traffic,2000,7.6,86.0,192026,1,Crime,Drama,Thriller,Michael Douglas,Benicio Del Toro,Catherine Zeta-Jones,4,70.0,86.0,147.0,48000000.0,207515725.0
24,What Women Want,2000,6.4,47.0,187475,3,Comedy,Fantasy,Romance,Mel Gibson,Helen Hunt,Marisa Tomei,1,5.0,8.0,127.0,70000000.0,374111707.0
25,Miss Congeniality,2000,6.2,43.0,181078,3,Action,Comedy,Crime,Sandra Bullock,Michael Caine,Benjamin Bratt,2,7.0,5.0,109.0,45000000.0,212742720.0
26,Chocolat,2000,7.2,64.0,174351,3,Drama,Romance,,Juliette Binoche,Judi Dench,Alfred Molina,5,7.0,31.0,121.0,25000000.0,152699946.0
27,Charlie's Angels,2000,5.5,52.0,172363,3,Action,Adventure,Comedy,Cameron Diaz,Drew Barrymore,Lucy Liu,0,15.0,30.0,98.0,93000000.0,264105545.0
28,Erin Brockovich,2000,7.3,73.0,168994,1,Biography,Drama,,Julia Roberts,Albert Finney,David Brisbin,1,32.0,59.0,131.0,52000000.0,256271286.0
29,High Fidelity,2000,7.5,79.0,164400,1,Comedy,Drama,Music,John Cusack,Iben Hjejle,Todd Louiso,1,3.0,21.0,113.0,30000000.0,47126295.0
30,Road Trip,2000,6.4,55.0,154395,1,Comedy,,,Breckin Meyer,Seann William Scott,Amy Smart,0,4.0,9.0,93.0,16000000.0,119754278.0
31,The Perfect Storm,2000,6.4,59.0,152702,3,Action,Adventure,Drama,George Clooney,Mark Wahlberg,John C. Reilly,2,4.0,25.0,130.0,140000000.0,328718434.0
32,Dude Where's My Car?,2000,5.5,30.0,132337,3,Comedy,Mystery,Sci-Fi,Ashton Kutcher,Seann William Scott,Jennifer Garner,0,0.0,5.0,83.0,13000000.0,73180723.0
33,Billy Elliot,2000,7.7,74.0,122696,1,Drama,Music,,Jamie Bell,Julie Walters,Jean Heywood,3,56.0,69.0,110.0,5000000.0,109280263.0
34,Hollow Man,2000,5.8,24.0,120664,1,Action,Horror,Sci-Fi,Kevin Bacon,Elisabeth Shue,Josh Brolin,1,7.0,13.0,112.0,95000000.0,190213455.0
35,Scream 3,2000,5.6,56.0,120127,1,Horror,Mystery,,David Arquette,Neve Campbell,Courteney Cox,0,6.0,5.0,116.0,40000000.0,161834276.0
36,In the Mood for Love,2000,8.1,85.0,117161,2,Drama,Romance,,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,1,45.0,50.0,98.0,,12854953.0
37,Shanghai Noon,2000,6.6,77.0,116748,3,Action,Adventure,Comedy,Jackie Chan,Owen Wilson,Lucy Liu,0,1.0,7.0,110.0,55000000.0,99274467.0
38,What Lies Beneath,2000,6.6,51.0,115192,3,Drama,Fantasy,Horror,Harrison Ford,Michelle Pfeiffer,Katharine Towne,0,7.0,6.0,130.0,100000000.0,291420351.0
39,The 6th Day,2000,5.9,49.0,114355,3,Action,Mystery,Sci-Fi,Arnold Schwarzenegger,Michael Rapaport,Tony Goldwyn,0,0.0,8.0,123.0,82000000.0,96085477.0
40,Pay It Forward,2000,7.2,40.0,110732,3,Drama,,,Kevin Spacey,Haley Joel Osment,Helen Hunt,0,1.0,4.0,123.0,40000000.0,55707411.0
41,The Whole Nine Yards,2000,6.7,47.0,107721,1,Comedy,Crime,,Bruce Willis,Matthew Perry,Rosanna Arquette,0,0.0,6.0,98.0,41300000.0,106371651.0
42,Men of Honor,2000,7.2,56.0,104759,1,Biography,Drama,,Cuba Gooding Jr.,Robert De Niro,Charlize Theron,0,0.0,11.0,129.0,32000000.0,82343495.0
43,Coyote Ugly,2000,5.7,27.0,104549,3,Comedy,Drama,Music,Piper Perabo,Adam Garcia,John Goodman,0,4.0,8.0,100.0,45000000.0,113916474.0
44,The Family Man,2000,6.8,42.0,100673,3,Comedy,Drama,Fantasy,Nicolas Cage,Téa Leoni,Don Cheadle,0,4.0,6.0,125.0,60000000.0,124745083.0
45,Dancer in the Dark,2000,8.0,61.0,99206,1,Crime,Drama,Musical,Björk,Catherine Deneuve,David Morse,1,35.0,47.0,140.0,12800000.0,40031879.0
46,Frequency,2000,7.3,67.0,98697,3,Crime,Drama,Mystery,Dennis Quaid,Jim Caviezel,Shawn Doyle,1,2.0,7.0,118.0,31000000.0,68106245.0
47,Little Nicky,2000,5.3,38.0,95680,3,Comedy,Fantasy,,Adam Sandler,Patricia Arquette,Harvey Keitel,0,1.0,12.0,90.0,85000000.0,58292295.0
48,Bedazzled,2000,6.0,49.0,94590,3,Comedy,Fantasy,,Brendan Fraser,Elizabeth Hurley,Frances O'Connor,0,1.0,3.0,93.0,48000000.0,90383208.0
49,The Cell,2000,6.3,40.0,93225,1,Horror,Sci-Fi,Thriller,Jennifer Lopez,Vince Vaughn,Vincent D'Onofrio,1,9.0,26.0,107.0,33000000.0,104155843.0
50,Malena,2000,7.5,54.0,86502,1,Comedy,Drama,Romance,Monica Bellucci,Giuseppe Sulfaro,Luciano Federico,2,7.0,20.0,108.0,,14493284.0
51,Bring It On,2000,6.0,52.0,84799,3,Comedy,Romance,Sport,Kirsten Dunst,Eliza Dushku,Jesse Bradford,0,2.0,7.0,98.0,11000000.0,90449929.0
52,The Road to El Dorado,2000,6.9,51.0,81231,2,Animation,Adventure,Comedy,Kevin Kline,Kenneth Branagh,Rosie Perez,0,1.0,12.0,89.0,95000000.0,76432727.0
53,Finding Forrester,2000,7.3,62.0,81113,3,Drama,,,Sean Connery,Rob Brown,F. Murray Abraham,0,5.0,13.0,136.0,43000000.0,80049764.0
54,Big Momma's House,2000,5.2,33.0,79343,3,Action,Comedy,Crime,Martin Lawrence,Nia Long,Paul Giamatti,0,1.0,9.0,99.0,30000000.0,173959438.0
55,U-571,2000,6.6,62.0,75003,3,Action,War,,Matthew McConaughey,Bill Paxton,Harvey Keitel,1,3.0,10.0,116.0,62000000.0,127666415.0
56,Battlefield Earth,2000,2.5,9.0,74840,3,Action,Adventure,Sci-Fi,John Travolta,Forest Whitaker,Barry Pepper,0,19.0,3.0,118.0,73000000.0,29725663.0
57,Shaft,2000,5.9,50.0,72084,1,Action,Crime,Thriller,Samuel L. Jackson,Vanessa Williams,Christian Bale,0,1.0,13.0,99.0,46000000.0,107626125.0
58,Space Cowboys,2000,6.4,73.0,71845,3,Action,Adventure,Thriller,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,1,4.0,8.0,130.0,65000000.0,128884132.0
59,Mission to Mars,2000,5.7,34.0,69106,2,Adventure,Sci-Fi,Thriller,Tim Robbins,Gary Sinise,Don Cheadle,0,0.0,2.0,114.0,100000000.0,110983407.0
60,Romeo Must Die,2000,6.1,52.0,65573,1,Action,Crime,Thriller,Jet Li,Aaliyah,Isaiah Washington,0,2.0,7.0,115.0,25000000.0,91036760.0
61,The Gift,2000,6.6,62.0,61918,1,Drama,Fantasy,Horror,Cate Blanchett,Katie Holmes,Keanu Reeves,0,0.0,10.0,112.0,10000000.0,44567606.0
62,Wonder Boys,2000,7.3,73.0,60253,1,Comedy,Drama,,Michael Douglas,Tobey Maguire,Frances McDormand,1,20.0,46.0,107.0,55000000.0,33426588.0
63,Titan A.E.,2000,6.6,48.0,57809,2,Animation,Action,Adventure,Matt Damon,Drew Barrymore,Bill Pullman,0,1.0,6.0,94.0,75000000.0,36754634.0
64,Vertical Limit,2000,5.9,48.0,57404,3,Action,Adventure,Drama,Scott Glenn,Chris O'Donnell,Bill Paxton,1,2.0,3.0,124.0,75000000.0,215663859.0
65,The Replacements,2000,6.6,30.0,56802,3,Comedy,Sport,,Keanu Reeves,Gene Hackman,Brooke Langton,0,0.0,0.0,118.0,50000000.0,50054511.0
66,The Crimson Rivers,2000,6.9,49.0,56685,1,Crime,Horror,Mystery,Jean Reno,Vincent Cassel,Nadia Farès,0,1.0,6.0,106.0,14000000.0,60103680.0
67,Red Planet,2000,5.7,34.0,54348,3,Action,Sci-Fi,Thriller,Val Kilmer,Carrie-Anne Moss,Tom Sizemore,0,0.0,1.0,106.0,80000000.0,33463969.0
68,Proof of Life,2000,6.2,45.0,54140,1,Action,Drama,Thriller,Meg Ryan,Russell Crowe,David Morse,0,0.0,5.0,135.0,65000000.0,62761005.0
69,Best in Show,2000,7.4,78.0,53562,3,Comedy,,,Fred Willard,Eugene Levy,Catherine O'Hara,1,11.0,13.0,90.0,10000000.0,20789556.0
70,Sexy Beast,2000,7.3,79.0,53357,1,Crime,Drama,Thriller,Ray Winstone,Ben Kingsley,Ian McShane,1,21.0,20.0,89.0,,10045677.0
71,Thirteen Days,2000,7.3,67.0,52709,3,Drama,History,Thriller,Kevin Costner,Bruce Greenwood,Shawn Driscoll,0,3.0,8.0,145.0,80000000.0,66579890.0
72,The Legend of Bagger Vance,2000,6.7,47.0,52425,3,Drama,Fantasy,Sport,Will Smith,Matt Damon,Charlize Theron,0,2.0,11.0,126.0,80000000.0,39459427.0
73,Dinosaur,2000,6.5,56.0,51366,2,Animation,Adventure,Family,D.B. Sweeney,Julianna Margulies,Samuel E. Wright,0,4.0,21.0,82.0,127500000.0,349822765.0
74,Quills,2000,7.3,70.0,50633,1,Biography,Drama,,Geoffrey Rush,Kate Winslet,Joaquin Phoenix,3,18.0,41.0,124.0,13500000.0,17989227.0
75,Keeping the Faith,2000,6.3,60.0,49113,3,Comedy,Drama,Romance,Ben Stiller,Edward Norton,Jenna Elfman,0,2.0,6.0,128.0,29000000.0,59945183.0
76,Nine Queens,2000,7.9,80.0,48333,1,Crime,Drama,Thriller,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,0,22.0,8.0,114.0,1500000.0,12413888.0
77,Boiler Room,2000,7.0,63.0,48070,1,Crime,Drama,Thriller,Giovanni Ribisi,Vin Diesel,Nia Long,0,1.0,9.0,120.0,7000000.0,28780255.0
78,Nutty Professor II: The Klumps,2000,4.4,38.0,47388,3,Comedy,Romance,Sci-Fi,Eddie Murphy,Janet Jackson,Larry Miller,0,2.0,15.0,106.0,84000000.0,166339890.0
79,Rules of Engagement,2000,6.4,45.0,43487,1,Drama,Thriller,War,Tommy Lee Jones,Samuel L. Jackson,Guy Pearce,0,1.0,2.0,128.0,60000000.0,71732303.0
80,28 Days,2000,6.0,46.0,43199,3,Comedy,Drama,,Sandra Bullock,Viggo Mortensen,Dominic West,0,0.0,1.0,103.0,43000000.0,62198945.0
81,The Kid,2000,6.1,45.0,39464,2,Comedy,Family,Fantasy,Bruce Willis,Spencer Breslin,Emily Mortimer,0,1.0,3.0,104.0,65000000.0,110317580.0
82,Shadow of the Vampire,2000,6.9,71.0,39331,1,Drama,Horror,,John Malkovich,Willem Dafoe,Udo Kier,2,16.0,27.0,92.0,8000000.0,11155214.0
83,Tigerland,2000,7.0,55.0,37236,1,Drama,War,,Colin Farrell,Matthew Davis,Clifton Collins Jr.,0,2.0,5.0,101.0,10000000.0,148701.0
84,Reindeer Games,2000,5.8,37.0,36787,1,Action,Adventure,Crime,Ben Affleck,Gary Sinise,Charlize Theron,0,0.0,3.0,104.0,42000000.0,32168970.0
85,Small Time Crooks,2000,6.7,69.0,36100,2,Comedy,Crime,,Woody Allen,Tracey Ullman,Hugh Grant,1,1.0,3.0,94.0,25000000.0,29934477.0
86,Next Friday,2000,6.2,41.0,35735,1,Comedy,,,Ice Cube,Mike Epps,Justin Pierce,0,0.0,2.0,98.0,11000000.0,59827328.0
87,Chopper,2000,7.2,65.0,35571,1,Biography,Crime,Drama,Eric Bana,Simon Lyndon,Vince Colosimo,0,12.0,14.0,94.0,5000000.0,236185.0
88,Book of Shadows: Blair Witch 2,2000,3.9,15.0,35022,1,Adventure,Fantasy,Horror,Jeffrey Donovan,Stephen Barker Turner,Erica Leerhsen,0,5.0,10.0,90.0,15000000.0,47737094.0
89,Nurse Betty,2000,6.1,69.0,32504,1,Comedy,Crime,Drama,Renée Zellweger,Morgan Freeman,Chris Rock,1,4.0,14.0,110.0,35000000.0,29364989.0
90,Get Carter,2000,5.2,24.0,31943,1,Action,Crime,Drama,Sylvester Stallone,Rachael Leigh Cook,Miranda Richardson,0,0.0,7.0,102.0,63600000.0,19412993.0
91,Dungeons & Dragons,2000,3.6,14.0,31485,3,Action,Adventure,Fantasy,Justin Whalin,Jeremy Irons,Zoe McLellan,0,0.0,11.0,107.0,45000000.0,33978694.0
92,Dracula 2000,2000,4.9,26.0,31426,1,Action,Fantasy,Horror,Gerard Butler,Justine Waddell,Jonny Lee Miller,0,0.0,2.0,99.0,54000000.0,47053625.0
93,The Way of the Gun,2000,6.7,49.0,31167,1,Action,Crime,Drama,Ryan Phillippe,Benicio Del Toro,Juliette Lewis,0,0.0,0.0,119.0,8500000.0,13200972.0
94,Where the Heart Is,2000,6.8,30.0,31164,3,Comedy,Drama,Romance,Natalie Portman,James Frain,Ashley Judd,0,1.0,2.0,120.0,15000000.0,40863718.0
95,The Skulls,2000,5.6,24.0,30427,3,Action,Crime,Drama,Joshua Jackson,Paul Walker,Hill Harper,0,0.0,1.0,106.0,35000000.0,50802120.0
96,Vampire Hunter D: Bloodlust,2000,7.7,62.0,28286,1,Animation,Action,Fantasy,Andrew Philpot,John Rafter Lee,Pamela Adlon,0,0.0,0.0,103.0,,151086.0
97,The Art of War,2000,5.7,30.0,28084,1,Action,Adventure,Crime,Wesley Snipes,Anne Archer,Maury Chaykin,0,2.0,9.0,117.0,60000000.0,40400425.0
98,You Can Count on Me,2000,7.5,85.0,27337,1,Drama,,,Laura Linney,Matthew Broderick,Amy Ryan,2,30.0,41.0,111.0,1200000.0,11242521.0
99,Pollock,2000,7.0,77.0,26397,1,Biography,Drama,,Ed Harris,Marcia Gay Harden,Robert Knott,1,2.0,9.0,122.0,6000000.0,10994533.0
100,Loser,2000,5.3,35.0,26139,3,Comedy,Romance,,Jason Biggs,Mena Suvari,Zak Orth,0,0.0,1.0,98.0,20000000.0,18404706.0
101,The Watcher,2000,5.3,22.0,25293,1,Crime,Drama,Mystery,James Spader,Keanu Reeves,Marisa Tomei,0,0.0,1.0,97.0,30000000.0,47267829.0
102,Autumn in New York,2000,5.7,24.0,24353,3,Drama,Romance,,Richard Gere,Winona Ryder,Anthony LaPaglia,0,0.0,3.0,103.0,65000000.0,90726668.0
103,Before Night Falls,2000,7.2,85.0,23535,1,Biography,Drama,Romance,Javier Bardem,Johnny Depp,Olatz López Garmendia,1,15.0,22.0,133.0,,8601053.0
104,Batman Beyond: Return of the Joker,2000,7.8,7.8,22596,3,Animation,Action,Crime,Will Friedle,Mark Hamill,Kevin Conroy,0,3.0,5.0,73.0,,
105,The Contender,2000,6.9,59.0,22336,1,Drama,Thriller,,Joan Allen,Gary Oldman,Jeff Bridges,2,1.0,20.0,126.0,20000000.0,22428990.0
106,Under Suspicion,2000,6.5,43.0,21744,1,Crime,Drama,Thriller,Morgan Freeman,Gene Hackman,Thomas Jane,0,0.0,2.0,110.0,25000000.0,1308242.0
107,Brother,2000,7.2,47.0,21315,1,Crime,Drama,Thriller,Takeshi Kitano,Claude Maki,Omar Epps,0,1.0,2.0,114.0,10000000.0,15250594.0
108,The Flintstones in Viva Rock Vegas,2000,3.6,27.0,20962,2,Comedy,Family,Romance,Mark Addy,Stephen Baldwin,Kristen Johnston,0,1.0,11.0,90.0,83000000.0,59468275.0
109,The Million Dollar Hotel,2000,5.9,25.0,20451,1,Drama,Mystery,Thriller,Jeremy Davies,Milla Jovovich,Mel Gibson,0,2.0,4.0,122.0,8000000.0,105983.0
110,100 Girls,2000,5.8,7.8,20431,1,Comedy,Romance,,Jonathan Tucker,Emmanuelle Chriqui,James DeBello,0,2.0,2.0,94.0,,132555.0
111,Together,2000,7.4,84.0,20183,1,Comedy,Drama,Romance,Lisa Lindgren,Michael Nyqvist,Emma Samuelsson,0,15.0,15.0,106.0,17000000.0,14596148.0
112,Séquences et conséquences,2000,6.7,75.0,20112,1,Comedy,Drama,,Philip Seymour Hoffman,William H. Macy,Rebecca Pidgeon,0,7.0,8.0,105.0,,9206279.0
113,Bounce,2000,5.7,52.0,19738,3,Drama,Romance,,Ben Affleck,Gwyneth Paltrow,Natasha Henstridge,0,2.0,2.0,106.0,35000000.0,53425292.0
114,The Yards,2000,6.4,58.0,19497,1,Crime,Drama,Romance,Mark Wahlberg,Joaquin Phoenix,Charlize Theron,0,3.0,2.0,115.0,24000000.0,924036.0
115,Return to Me,2000,6.9,54.0,19223,2,Comedy,Drama,Romance,David Duchovny,Minnie Driver,Carroll O'Connor,0,2.0,2.0,115.0,24000000.0,36609995.0
116,Highlander: Endgame,2000,4.6,21.0,19023,1,Action,Adventure,Fantasy,Christopher Lambert,Adrian Paul,Bruce Payne,0,0.0,1.0,87.0,25000000.0,15843608.0
117,The Adventures of Rocky & Bullwinkle,2000,4.2,36.0,18989,2,Animation,Adventure,Comedy,Robert De Niro,Rene Russo,Piper Perabo,0,2.0,6.0,92.0,76000000.0,35134820.0
118,My Dog Skip,2000,7.0,61.0,18953,2,Comedy,Drama,Family,Frankie Muniz,Kevin Bacon,Diane Lane,0,7.0,4.0,95.0,6000000.0,35547761.0
119,Center Stage,2000,6.7,52.0,18516,3,Drama,Music,Romance,Amanda Schull,Ethan Stiefel,Sascha Radetsky,0,0.0,1.0,115.0,29000000.0,26385941.0
120,Love & Basketball,2000,7.2,70.0,17781,3,Drama,Romance,Sport,Sanaa Lathan,Omar Epps,Glenndon Chatman,0,13.0,15.0,124.0,20000000.0,27728118.0
121,Dr. T & the Women,2000,4.6,64.0,17413,1,Comedy,Drama,Romance,Richard Gere,Helen Hunt,Farrah Fawcett,0,0.0,4.0,122.0,23000000.0,22844291.0
122,Saving Grace,2000,6.9,62.0,17259,1,Comedy,Crime,,Brenda Blethyn,Craig Ferguson,Martin Clunes,1,4.0,8.0,93.0,10000000.0,28741330.0
123,Supernova,2000,4.9,19.0,16801,3,Horror,Sci-Fi,Thriller,James Spader,Peter Facinelli,Robin Tunney,0,0.0,0.0,90.0,90000000.0,14828081.0
124,Boys and Girls,2000,5.4,29.0,15712,3,Comedy,Drama,Romance,Freddie Prinze Jr.,Claire Forlani,Brendon Ryan Barrett,0,0.0,1.0,94.0,35000000.0,25850615.0
125,Urban Legends: Final Cut,2000,4.3,16.0,15619,1,Horror,Mystery,Thriller,Jennifer Morrison,Matthew Davis,Hart Bochner,0,1.0,2.0,97.0,14000000.0,38574362.0
126,The Dish,2000,7.1,74.0,15026,3,Comedy,Drama,History,Sam Neill,Billy Mitchell,Roz Hammond,0,3.0,10.0,101.0,,16575074.0
127,Cruel Intentions 2,2000,4.4,7.8,14626,1,Drama,,,Robin Dunne,Sarah Thompson,Keri Lynn Pratt,0,0.0,0.0,87.0,,
128,Hellraiser: Inferno,2000,5.5,7.8,14509,1,Crime,Horror,Mystery,Craig Sheffer,Nicholas Turturro,James Remar,0,1.0,3.0,99.0,2000000.0,
129,Gossip,2000,5.9,31.0,14189,1,Drama,Mystery,Thriller,James Marsden,Lena Headey,Norman Reedus,0,0.0,3.0,90.0,24000000.0,12591270.0
130,Down to You,2000,5.0,13.0,14103,3,Comedy,Drama,Romance,Freddie Prinze Jr.,Julia Stiles,Selma Blair,0,1.0,4.0,91.0,11000000.0,24419914.0
131,The Man Who Cried,2000,6.2,40.0,13958,1,Drama,Music,Romance,Christina Ricci,Cate Blanchett,Oleg Yankovskiy,0,3.0,3.0,100.0,,1322763.0
132,The Princess and the Warrior,2000,7.5,64.0,13921,1,Drama,Mystery,Romance,Franka Potente,Benno Fürmann,Joachim Król,0,6.0,16.0,135.0,,1017667.0
133,Bless the Child,2000,5.1,17.0,13658,1,Crime,Drama,Horror,Kim Basinger,Jimmy Smits,Rufus Sewell,0,1.0,6.0,107.0,65000000.0,40443010.0
134,Ready to Rumble,2000,5.4,23.0,13329,3,Comedy,Sport,,David Arquette,Oliver Platt,Scott Caan,0,0.0,1.0,107.0,24000000.0,12452362.0
135,Cecil B. Demented,2000,6.3,57.0,13294,1,Comedy,Crime,Thriller,Melanie Griffith,Stephen Dorff,Alicia Witt,0,0.0,2.0,87.0,10000000.0,1961544.0
136,Ordinary Decent Criminal,2000,6.4,7.8,13179,1,Comedy,Crime,,Kevin Spacey,Linda Fiorentino,Peter Mullan,0,0.0,0.0,93.0,,
137,Drowning Mona,2000,5.7,25.0,12953,3,Comedy,Crime,Mystery,Danny DeVito,Bette Midler,Neve Campbell,0,0.0,1.0,96.0,37000000.0,15910104.0
138,Gangster No. 1,2000,6.8,60.0,12908,1,Crime,Drama,Thriller,Malcolm McDowell,David Thewlis,Paul Bettany,0,1.0,9.0,103.0,,30915.0
139,All the Pretty Horses,2000,5.8,55.0,12725,3,Drama,Romance,Western,Matt Damon,Penélope Cruz,Henry Thomas,1,2.0,13.0,116.0,57000000.0,18133495.0
140,Italian for Beginners,2000,7.0,77.0,12605,1,Comedy,Drama,Romance,Anders W. Berthelsen,Ann Eleonora Jørgensen,Anette Støvelbæk,0,20.0,22.0,112.0,1000000.0,16350876.0
141,Animal Factory,2000,6.6,65.0,12481,1,Crime,Drama,,Willem Dafoe,Edward Furlong,Danny Trejo,0,0.0,1.0,94.0,3600000.0,43805.0
142,Versus,2000,6.4,7.8,12234,1,Action,Comedy,Drama,Tak Sakaguchi,Hideo Sakaki,Chieko Misaka,0,0.0,1.0,119.0,400000.0,55500.0
143,The Ladies Man,2000,5.2,22.0,12220,1,Comedy,,,Tim Meadows,Karyn Parsons,Billy Dee Williams,0,0.0,1.0,84.0,24000000.0,13743212.0
144,Kevin & Perry Go Large,2000,5.6,7.8,12153,1,Comedy,Music,,Harry Enfield,Kathy Burke,Rhys Ifans,0,0.0,1.0,82.0,2000000.0,15932.0
145,Cherry Falls,2000,5.2,7.8,11910,1,Horror,Mystery,Thriller,Brittany Murphy,Jay Mohr,Michael Biehn,0,2.0,2.0,92.0,14000000.0,
146,Hanging Up,2000,4.9,33.0,11624,3,Comedy,Drama,,Diane Keaton,Meg Ryan,Lisa Kudrow,0,2.0,1.0,94.0,60000000.0,51880044.0
147,Anatomie,2000,6.1,33.0,11466,1,Horror,Thriller,,Franka Potente,Benno Fürmann,Anna Loos,0,1.0,3.0,103.0,8400000.0,10501958.0
148,2001: A Space Travesty,2000,3.6,7.8,11293,1,Comedy,Sci-Fi,,Leslie Nielsen,Ophélie Winter,Ezio Greggio,0,0.0,0.0,99.0,45000000.0,270813.0
149,Snow Day,2000,5.1,34.0,11280,2,Adventure,Comedy,Family,Chevy Chase,Mark Webber,Schuyler Fisk,0,0.0,4.0,89.0,13000000.0,62464731.0
150,The Crow: Salvation,2000,4.9,7.8,10611,1,Action,Crime,Fantasy,Kirsten Dunst,William Atherton,Debbie Fan,0,0.0,0.0,102.0,10000000.0,
151,Common Wealth,2000,7.3,7.8,10600,1,Comedy,Crime,Horror,Carmen Maura,Eduardo Antuña,María Asquerino,0,20.0,17.0,110.0,4000000.0,290754.0
152,The Next Best Thing,2000,4.6,25.0,10598,3,Comedy,Drama,Romance,Madonna,Rupert Everett,Benjamin Bratt,0,3.0,10.0,108.0,25000000.0,24362772.0
153,Bait,2000,5.8,39.0,10348,1,Action,Comedy,Crime,Jamie Foxx,David Morse,Robert Pastorelli,0,0.0,0.0,119.0,51000000.0,15471969.0
154,Shriek If You Know What I Did Last Friday the Thirteenth,2000,4.0,7.8,10292,1,Comedy,Horror,,Aimee Graham,Chris Palermo,Kim Greist,0,0.0,0.0,86.0,5000000.0,
155,Lost Souls,2000,4.8,16.0,10282,1,Drama,Horror,Thriller,Winona Ryder,Ben Chaplin,Sarah Wynter,0,0.0,2.0,97.0,50000000.0,31355910.0
