Column1;movie;year;imdb_ratings;metascore;votes;category;mv_page;genres1;genres2;genres3;stars1;stars2;stars3;rank;nb_oscar;win;nom;runtime;budget;gross
400;Tag;2018;6.5;56;105813;R;https://imdb.com/title/tt2854926/;Comedy;;;Jeremy Renner;Ed Helms;Jake Johnson;0;0;0;2;100;28000000;78130625
401;Maze Runner: The Death Cure;2018;6.2;50;105186;PG-13;https://imdb.com/title/tt4500922/;Action;Adventure;Sci-Fi;Dylan O'Brien;Ki Hong Lee;Kaya Scodelario;0;0;0;6;143;62000000;288175335
402;Pacific Rim: Uprising;2018;5.6;44;101296;PG-13;https://imdb.com/title/tt2557478/;Action;Adventure;Sci-Fi;John Boyega;Scott Eastwood;Cailee Spaeny;0;0;0;5;111;150000000;290930148
403;The Commuter;2018;6.3;56;98271;PG-13;https://imdb.com/title/tt1590193/;Action;Mystery;Thriller;Liam Neeson;Vera Farmiga;Patrick Wilson;0;0;0;1;105;30000000;119942387
404;Skyscraper;2018;5.8;51;98112;PG-13;https://imdb.com/title/tt5758778/;Action;Adventure;Thriller;Dwayne Johnson;Neve Campbell;Chin Han;0;0;0;3;102;125000000;304868961
405;The Mule;2018;7.0;58;97920;R;https://imdb.com/title/tt7959026/;Crime;Drama;Thriller;Clint Eastwood;Patrick L. Reyes;Cesar De León;0;0;1;10;116;50000000;174804407
406;Creed II;2018;7.1;66;97334;PG-13;https://imdb.com/title/tt6343314/;Drama;Sport;;Michael B. Jordan;Sylvester Stallone;Tessa Thompson;0;0;1;12;130;50000000;214215889
407;Mortal Engines;2018;6.1;44;95436;PG-13;https://imdb.com/title/tt1571234/;Action;Adventure;Fantasy;Hera Hilmar;Robert Sheehan;Hugo Weaving;0;0;3;2;128;100000000;83672673
408;Love, Simon;2018;7.6;72;92521;PG-13;https://imdb.com/title/tt5164432/;Comedy;Drama;Romance;Nick Robinson;Jennifer Garner;Josh Duhamel;0;0;8;24;110;17000000;66316289
409;The Cloverfield Paradox;2018;5.5;37;91393;PG-13;https://imdb.com/title/tt2548396/;Adventure;Drama;Horror;Gugu Mbatha-Raw;David Oyelowo;Daniel Brühl;0;0;0;1;102;26000000;
410;Den of Thieves;2018;7.0;49;86572;R;https://imdb.com/title/tt1259528/;Action;Crime;Drama;Gerard Butler;Pablo Schreiber;O'Shea Jackson Jr.;0;0;0;0;148;30000000;80509622
411;Widows;2018;6.9;84;80935;R;https://imdb.com/title/tt4218572/;Crime;Drama;Thriller;Viola Davis;Michelle Rodriguez;Elizabeth Debicki;0;1;19;94;129;42000000;75984700
412;Overlord;2018;6.6;60;77879;R;https://imdb.com/title/tt4530422/;Action;Adventure;Horror;Jovan Adepo;Wyatt Russell;Mathilde Ollivier;0;0;2;5;110;38000000;41657844
413;Instant Family;2018;7.3;57;73236;PG-13;https://imdb.com/title/tt7401588/;Comedy;Drama;;Mark Wahlberg;Rose Byrne;Isabela Merced;0;0;2;5;118;48000000;120556201
414;Mamma Mia! Here We Go Again;2018;6.7;60;73144;PG-13;https://imdb.com/title/tt6911608/;Comedy;Musical;Romance;Lily James;Amanda Seyfried;Meryl Streep;0;0;0;12;114;75000000;395044706
415;Mary Poppins Returns;2018;6.7;66;71756;PG;https://imdb.com/title/tt5028340/;Comedy;Family;Fantasy;Emily Blunt;Lin-Manuel Miranda;Ben Whishaw;0;4;20;103;130;130000000;349537494
416;Blockers;2018;6.2;69;67578;R;https://imdb.com/title/tt2531344/;Comedy;;;Leslie Mann;John Cena;Ike Barinholtz;0;0;1;6;102;21000000;94017294
417;Christopher Robin;2018;7.3;60;64641;PG;https://imdb.com/title/tt4575576/;Comedy;Drama;Family;Ewan McGregor;Hayley Atwell;Bronte Carmichael;0;1;1;9;104;75000000;197744377
418;The Spy Who Dumped Me;2018;6.0;52;63965;R;https://imdb.com/title/tt6663582/;Action;Adventure;Comedy;Justin Theroux;Blanka Györfi-Tóth;Vilma Szécsi;0;0;3;4;117;40000000;75320680
419;12 Strong;2018;6.6;54;63039;R;https://imdb.com/title/tt1413492/;Action;Drama;History;Chris Hemsworth;Michael Shannon;Michael Peña;0;0;0;3;130;35000000;67450815
420;Mile 22;2018;6.1;38;61170;R;https://imdb.com/title/tt4560436/;Action;Thriller;;Mark Wahlberg;Lauren Cohan;Iko Uwais;0;0;0;1;94;50000000;66308758
421;Death Wish;2018;6.4;31;60133;R;https://imdb.com/title/tt1137450/;Action;Crime;Drama;Bruce Willis;Vincent D'Onofrio;Elisabeth Shue;0;0;0;4;107;30000000;49562710
422;Robin Hood;2018;5.3;32;59179;PG-13;https://imdb.com/title/tt4532826/;Action;Adventure;Drama;Taron Egerton;Jamie Foxx;Ben Mendelsohn;0;0;0;4;116;100000000;86489031
423;Johnny English Strikes Again;2018;6.2;39;58423;PG;https://imdb.com/title/tt6921996/;Action;Adventure;Comedy;Rowan Atkinson;Ben Miller;Olga Kurylenko;0;0;0;1;89;25000000;158970776
424;Eighth Grade;2018;7.4;89;57248;R;https://imdb.com/title/tt7014006/;Comedy;Drama;;Elsie Fisher;Josh Hamilton;Emily Robinson;0;1;61;88;93;2000000;14347433
425;Sorry to Bother You;2018;6.9;80;55426;R;https://imdb.com/title/tt5688932/;Comedy;Fantasy;Sci-Fi;LaKeith Stanfield;Tessa Thompson;Jermaine Fowler;0;0;19;54;112;3200000;18170707
426;Outlaw King;2018;6.9;59;55307;R;https://imdb.com/title/tt6679794/;Action;Biography;Drama;Chris Pine;Stephen Dillane;Rebecca Robin;0;0;0;2;121;120000000;
427;Suspiria;2018;6.8;64;55027;R;https://imdb.com/title/tt1034415/;Fantasy;Horror;Mystery;Chloë Grace Moretz;Tilda Swinton;Doris Hick;0;0;24;67;152;20000000;7942093
428;Shoplifters;2018;8.0;93;53959;R;https://imdb.com/title/tt8075192/;Crime;Drama;;Lily Franky;Sakura Andô;Kirin Kiki;0;1;52;97;121;;67999335
429;Mowgli: Legend of the Jungle;2018;6.5;51;53562;PG-13;https://imdb.com/title/tt2388771/;Adventure;Drama;Fantasy;Christian Bale;Cate Blanchett;Benedict Cumberbatch;0;0;0;7;;;
430;Hotel Transylvania 3: Summer Vacation;2018;6.3;54;52338;PG;https://imdb.com/title/tt5220122/;Animation;Adventure;Comedy;Adam Sandler;Andy Samberg;Selena Gomez;0;0;2;8;97;80000000;528583774
431;The House That Jack Built;2018;6.8;42;52270;R;https://imdb.com/title/tt4003440/;Crime;Drama;Horror;Matt Dillon;Bruno Ganz;Uma Thurman;0;0;11;20;152;8700000;5565865
432;Fifty Shades Freed;2018;4.5;31;51950;R;https://imdb.com/title/tt4477536/;Drama;Romance;Thriller;Dakota Johnson;Jamie Dornan;Eric Johnson;0;0;5;10;105;55000000;371985018
433;The First Purge;2018;5.2;54;50912;R;https://imdb.com/title/tt6133466/;Action;Horror;Sci-Fi;Y'lan Noel;Lex Scott Davis;Joivan Wade;0;0;0;0;97;13000000;137056262
434;Alpha;2018;6.7;63;50594;PG-13;https://imdb.com/title/tt4244998/;Action;Adventure;Drama;Kodi Smit-McPhee;Jóhannes Haukur Jóhannesson;Marcin Kowalczyk;0;0;0;1;96;51000000;98203196
435;Tully;2018;7.0;75;49389;R;https://imdb.com/title/tt5610554/;Comedy;Drama;Mystery;Charlize Theron;Mackenzie Davis;Ron Livingston;0;1;3;20;95;13000000;15636462
436;Insidious: The Last Key;2018;5.7;49;49350;PG-13;https://imdb.com/title/tt5726086/;Horror;Mystery;Thriller;Lin Shaye;Leigh Whannell;Angus Sampson;0;0;0;6;103;10000000;167885588
437;Capernaum;2018;8.4;75;49339;R;https://imdb.com/title/tt8267604/;Drama;;;Zain Al Rafeea;Yordanos Shiferaw;Boluwatife Treasure Bankole;92;1;34;46;126;4000000;64413178
438;Free Solo;2018;8.2;83;48972;PG-13;https://imdb.com/title/tt7775622/;Documentary;Adventure;Sport;Alex Honnold;Tommy Caldwell;Jimmy Chin;0;1;29;54;100;;29318861
439;The Sisters Brothers;2018;7.0;78;48394;R;https://imdb.com/title/tt4971344/;Crime;Drama;Western;John C. Reilly;Joaquin Phoenix;Jake Gyllenhaal;0;0;10;22;122;38000000;13143056
440;Hunter Killer;2018;6.6;43;48005;R;https://imdb.com/title/tt1846589/;Action;Adventure;Thriller;Gerard Butler;Gary Oldman;Common;0;0;0;1;121;40000000;31672678
441;Peppermint;2018;6.5;29;47820;R;https://imdb.com/title/tt6850820/;Action;Drama;Thriller;Jennifer Garner;John Gallagher Jr.;John Ortiz;0;0;0;4;101;25000000;53918723
442;Hotel Mumbai;2018;7.6;62;47243;R;https://imdb.com/title/tt5461944/;Action;Drama;History;Dev Patel;Armie Hammer;Nazanin Boniadi;0;0;9;19;123;;21314816
443;Beautiful Boy;2018;7.3;62;46411;R;https://imdb.com/title/tt1226837/;Biography;Drama;;Steve Carell;Maura Tierney;Jack Dylan Grazer;0;1;9;27;120;25000000;16636604
444;I Feel Pretty;2018;5.5;48;45945;PG-13;https://imdb.com/title/tt6791096/;Comedy;Romance;;Amy Schumer;Michelle Williams;Emily Ratajkowski;0;0;1;5;110;32000000;94539426
445;Leave No Trace;2018;7.2;88;45389;PG;https://imdb.com/title/tt3892172/;Drama;;;Thomasin McKenzie;Ben Foster;Jeffery Rifflard;0;0;17;90;109;;7682928
446;Climax;2018;7.1;67;44691;R;https://imdb.com/title/tt8359848/;Drama;Horror;Music;Sofia Boutella;Romain Guillermic;Souheila Yacoub;0;0;5;7;97;2600000;2027391
447;Cold War;2018;7.6;90;44527;R;https://imdb.com/title/tt6543652/;Drama;History;Music;Joanna Kulig;Tomasz Kot;Borys Szyc;0;3;45;110;89;4300000;20534357
448;The Grinch;2018;6.3;51;44263;PG;https://imdb.com/title/tt2709692/;Animation;Comedy;Family;Benedict Cumberbatch;Cameron Seely;Rashida Jones;0;0;1;18;85;75000000;511595957
449;Can You Ever Forgive Me?;2018;7.1;87;43468;R;https://imdb.com/title/tt4595882/;Biography;Comedy;Crime;Melissa McCarthy;Richard E. Grant;Dolly Wells;0;3;53;93;106;10000000;12442161
450;Truth or Dare;2018;5.2;35;43030;PG-13;https://imdb.com/title/tt6772950/;Horror;Thriller;;Lucy Hale;Tyler Posey;Violett Beane;0;0;1;2;100;3500000;95330493
451;Adrift;2018;6.6;56;42390;PG-13;https://imdb.com/title/tt6306064/;Action;Adventure;Biography;Shailene Woodley;Sam Claflin;Jeffrey Thomas;0;0;0;5;96;35000000;59945012
452;Mid90s;2018;7.4;66;41736;R;https://imdb.com/title/tt5613484/;Comedy;Drama;;Sunny Suljic;Katherine Waterston;Lucas Hedges;0;0;4;10;85;;9303022
453;The House with a Clock in Its Walls;2018;6.0;57;41734;PG;https://imdb.com/title/tt2119543/;Comedy;Family;Fantasy;Jack Black;Cate Blanchett;Owen Vaccaro;0;0;1;1;105;42000000;131457147
454;Hotel Artemis;2018;6.1;58;40364;R;https://imdb.com/title/tt5834262/;Action;Crime;Drama;Jodie Foster;Sofia Boutella;Dave Bautista;0;0;1;1;94;15000000;13313581
455;A Wrinkle in Time;2018;4.2;53;39237;PG;https://imdb.com/title/tt1620680/;Adventure;Family;Fantasy;Storm Reid;Oprah Winfrey;Reese Witherspoon;0;0;5;15;109;100000000;132675864
456;Arctic;2018;6.8;71;38469;PG-13;https://imdb.com/title/tt6820256/;Adventure;Drama;;Mads Mikkelsen;Maria Thelma Smáradóttir;Tintrinai Thikhasuk;0;0;0;2;98;2000000;4144008
457;The Guilty;2018;7.5;83;38357;R;https://imdb.com/title/tt6742252/;Crime;Drama;Thriller;Jakob Cedergren;Jessica Dinnage;Omar Shargawi;0;0;36;39;85;;4598051
458;If Beale Street Could Talk;2018;7.1;87;38022;R;https://imdb.com/title/tt7125860/;Drama;Romance;;KiKi Layne;Stephan James;Regina King;0;1;108;180;119;12000000;20596567
459;Unsane;2018;6.4;63;37863;R;https://imdb.com/title/tt7153766/;Drama;Horror;Mystery;Claire Foy;Joshua Leonard;Jay Pharoah;0;0;1;4;98;1500000;14293601
460;The Girl in the Spider's Web;2018;6.1;43;37700;R;https://imdb.com/title/tt5177088/;Action;Crime;Drama;Claire Foy;Beau Gadsdon;Sverrir Gudnason;0;0;1;6;115;43000000;35164920
461;The Old Man & the Gun;2018;6.7;80;37590;PG-13;https://imdb.com/title/tt2837574/;Biography;Comedy;Crime;Robert Redford;Casey Affleck;Sissy Spacek;0;1;2;9;93;;17860397
462;Mary Queen of Scots;2018;6.3;60;35838;R;https://imdb.com/title/tt2328900/;Biography;Drama;History;Saoirse Ronan;Margot Robbie;Jack Lowden;0;2;6;27;124;25000000;46710283
463;American Animals;2018;7.0;68;35642;R;https://imdb.com/title/tt6212478/;Biography;Crime;Drama;Spencer Reinhard;Warren Lipka;Eric Borsuk;0;0;9;21;116;;4080073
464;Peter Rabbit;2018;6.6;51;33371;PG;https://imdb.com/title/tt5117670/;Adventure;Comedy;Family;James Corden;Fayssal Bazzi;Domhnall Gleeson;0;0;4;14;95;50000000;351266433
465;Dragged Across Concrete;2018;7.0;60;32767;R;https://imdb.com/title/tt6491178/;Action;Crime;Drama;Mel Gibson;Vince Vaughn;Tory Kittles;0;0;0;5;159;15000000;660132
466;Sierra Burgess Is a Loser;2018;5.8;60;32650;PG-13;https://imdb.com/title/tt3120280/;Comedy;Drama;Romance;Shannon Purser;Kristine Froseth;RJ Cyler;0;0;0;2;105;;
467;Overboard;2018;6.0;42;32107;PG-13;https://imdb.com/title/tt1563742/;Comedy;Romance;;Eugenio Derbez;Anna Faris;Eva Longoria;0;0;3;7;112;12000000;91244913
468;Night School;2018;5.6;43;31456;PG-13;https://imdb.com/title/tt6781982/;Comedy;;;Kevin Hart;Tiffany Haddish;Rob Riggle;0;0;0;4;111;29000000;103105878
469;Life of the Party;2018;5.6;46;31309;PG-13;https://imdb.com/title/tt5619332/;Comedy;;;Melissa McCarthy;Matt Walsh;Molly Gordon;0;0;3;4;105;30000000;65859911
470;Smallfoot;2018;6.6;60;31062;PG;https://imdb.com/title/tt6182908/;Animation;Adventure;Comedy;Channing Tatum;James Corden;Zendaya;0;0;1;14;96;80000000;214040103
471;Stan & Ollie;2018;7.2;75;29362;PG;https://imdb.com/title/tt3385524/;Biography;Comedy;Drama;Steve Coogan;John C. Reilly;Shirley Henderson;0;1;5;25;98;10000000;24420923
472;Under the Silver Lake;2018;6.5;60;29124;R;https://imdb.com/title/tt5691670/;Crime;Drama;Mystery;Andrew Garfield;Riley Keough;Topher Grace;0;0;2;8;139;8500000;2053469
473;Operation Finale;2018;6.6;58;28664;PG-13;https://imdb.com/title/tt5208252/;Biography;Drama;History;Oscar Isaac;Ben Kingsley;Mélanie Laurent;0;0;0;1;122;24000000;17612099
474;Replicas;2018;5.5;19;28062;PG-13;https://imdb.com/title/tt4154916/;Drama;Sci-Fi;Thriller;Keanu Reeves;Alice Eve;Thomas Middleditch;0;0;0;1;107;30000000;9330075
475;Boy Erased;2018;6.9;69;28041;R;https://imdb.com/title/tt7008872/;Biography;Drama;;Lucas Hedges;Nicole Kidman;Joel Edgerton;0;2;10;46;115;11000000;11853081
476;Winchester;2018;5.4;28;28038;PG-13;https://imdb.com/title/tt1072748/;Biography;Drama;Fantasy;Helen Mirren;Sarah Snook;Finn Scicluna-O'Prey;0;0;6;9;99;3500000;44019588
477;Holmes & Watson;2018;3.8;24;27650;PG-13;https://imdb.com/title/tt1255919/;Comedy;Crime;Mystery;Will Ferrell;John C. Reilly;Ralph Fiennes;95;0;4;4;90;42000000;40466970
478;The 15:17 to Paris;2018;5.2;45;27334;PG-13;https://imdb.com/title/tt6802308/;Biography;Drama;Thriller;Alek Skarlatos;Anthony Sadler;Spencer Stone;0;0;1;3;94;30000000;57076286
479;The Hate U Give;2018;7.4;81;27097;PG-13;https://imdb.com/title/tt5580266/;Crime;Drama;;Amandla Stenberg;Regina Hall;Russell Hornsby;0;0;23;32;133;23000000;34934009
480;Everybody Knows;2018;6.9;68;26692;R;https://imdb.com/title/tt4964788/;Crime;Drama;Mystery;Penélope Cruz;Javier Bardem;Ricardo Darín;0;0;5;31;133;10000000;19176163
481;The Darkest Minds;2018;5.7;39;26626;PG-13;https://imdb.com/title/tt4073790/;Action;Adventure;Drama;Amandla Stenberg;Mandy Moore;Bradley Whitford;0;0;1;3;104;34000000;41142379
482;The Nutcracker and the Four Realms;2018;5.5;39;26292;PG;https://imdb.com/title/tt5523010/;Adventure;Family;Fantasy;Mackenzie Foy;Keira Knightley;Morgan Freeman;0;0;1;8;99;120000000;173961069
483;Dumplin';2018;6.6;53;26268;PG-13;https://imdb.com/title/tt4878482/;Comedy;Drama;;Danielle Macdonald;Jennifer Aniston;Odeya Rush;0;1;;;110;;399198
484;Escape Plan 2: Hades;2018;3.8;;26228;R;https://imdb.com/title/tt6513656/;Action;Crime;Mystery;Sylvester Stallone;Dave Bautista;Xiaoming Huang;0;0;0;0;96;45000000;17592626
485;They Shall Not Grow Old;2018;8.3;91;25610;R;https://imdb.com/title/tt7905466/;Documentary;History;War;;;;0;1;5;10;99;;20904188
486;Braven;2018;6.0;61;25399;R;https://imdb.com/title/tt5001754/;Action;Thriller;;Jason Momoa;Garret Dillahunt;Jill Wagner;0;0;0;0;;5000000;823471
487;At Eternity's Gate;2018;6.9;76;25226;PG-13;https://imdb.com/title/tt6938828/;Biography;Drama;;Willem Dafoe;Rupert Friend;Oscar Isaac;0;1;3;15;111;;11261585
488;The Strangers: Prey at Night;2018;5.2;48;25210;R;https://imdb.com/title/tt1285009/;Horror;;;Christina Hendricks;Martin Henderson;Bailee Madison;0;0;0;0;85;5000000;31039126
489;22 July;2018;6.8;69;25208;R;https://imdb.com/title/tt7280898/;Crime;Drama;History;Anders Danielsen Lie;Jonas Strand Gravli;Jon Øigarden;0;0;2;3;143;20000000;
490;Gringo;2018;6.1;46;25003;R;https://imdb.com/title/tt3721964/;Action;Comedy;Crime;Joel Edgerton;Charlize Theron;David Oyelowo;0;0;0;2;111;;11001627
491;Tau;2018;5.8;43;24687;R;https://imdb.com/title/tt4357394/;Sci-Fi;Thriller;;Maika Monroe;Ed Skrein;Gary Oldman;0;0;0;1;97;;
492;High Life;2018;5.8;77;24647;R;https://imdb.com/title/tt4827558/;Adventure;Drama;Horror;Robert Pattinson;Juliette Binoche;André Benjamin;0;0;5;13;113;;2133033
493;Slender Man;2018;3.2;30;24568;PG-13;https://imdb.com/title/tt5690360/;Horror;Mystery;Thriller;Joey King;Julia Goldani Telles;Jaz Sinclair;43;0;0;3;93;10000000;51738549
494;Blindspotting;2018;7.4;77;24174;R;https://imdb.com/title/tt7242142/;Comedy;Crime;Drama;Daveed Diggs;Rafael Casal;Janina Gavankar;0;0;7;20;95;;5006989
495;Book Club;2018;6.1;53;23603;PG-13;https://imdb.com/title/tt6857166/;Comedy;Drama;Romance;Diane Keaton;Jane Fonda;Candice Bergen;0;0;2;3;104;10000000;104438188
496;White Boy Rick;2018;6.4;59;23449;R;https://imdb.com/title/tt4537896/;Crime;Drama;;Matthew McConaughey;Richie Merritt;Bel Powley;0;0;0;1;111;29000000;25957482
497;Super Troopers 2;2018;6.0;41;22915;R;https://imdb.com/title/tt0859635/;Comedy;Crime;Mystery;Jay Chandrasekhar;Kevin Heffernan;Steve Lemme;0;0;2;2;;13500000;31626386
498;Destroyer;2018;6.2;62;22884;R;https://imdb.com/title/tt7137380/;Action;Crime;Drama;Nicole Kidman;Toby Kebbell;Tatiana Maslany;0;1;3;18;121;9000000;5580940
499;Nothing to Lose;2018;5.5;;22818;PG;https://imdb.com/title/tt6910020/;Biography;Drama;;Petrônio Gontijo;Day Mesquita;Beth Goulart;0;0;0;0;134;16000000;36075317
500;The Happytime Murders;2018;5.4;27;22692;R;https://imdb.com/title/tt1308728/;Action;Comedy;Crime;Melissa McCarthy;Elizabeth Banks;Maya Rudolph;0;0;2;10;91;40000000;27506452
501;Destination Wedding;2018;6.0;46;22648;R;https://imdb.com/title/tt6987770/;Comedy;Drama;Romance;Winona Ryder;Keanu Reeves;DJ Dallenbach;0;0;0;0;87;;2182965
502;Greta;2018;6.0;54;22487;R;https://imdb.com/title/tt2639336/;Drama;Mystery;Thriller;Isabelle Huppert;Chloë Grace Moretz;Maika Monroe;0;0;1;4;98;;18653107
503;Three Identical Strangers;2018;7.7;81;22239;PG-13;https://imdb.com/title/tt7664504/;Documentary;Biography;Drama;Robert Shafran;Michael Domnitz;Howard Schneider;0;3;11;54;96;;13448497
504;Border;2018;7.0;75;21549;R;https://imdb.com/title/tt5501104/;Crime;Drama;Fantasy;Eva Melander;Eero Milonoff;Jörgen Thorsson;0;1;18;28;110;;2177678
505;Won't You Be My Neighbor?;2018;8.4;85;21373;PG-13;https://imdb.com/title/tt7681902/;Documentary;Biography;;Fred Rogers;Joanne Rogers;John Rogers;0;0;53;33;95;;22842400
506;On the Basis of Sex;2018;7.0;59;21156;PG-13;https://imdb.com/title/tt4669788/;Biography;Drama;;Felicity Jones;Armie Hammer;Justin Theroux;0;0;2;9;120;20000000;38673750
507;Midnight Sun;2018;6.6;38;20937;PG-13;https://imdb.com/title/tt4799066/;Drama;Romance;;Bella Thorne;Patrick Schwarzenegger;Rob Riggle;0;0;0;6;91;2800000;27365467
508;Dragon Ball Super: Broly;2018;7.9;59;20865;PG;https://imdb.com/title/tt7961060/;Animation;Action;Adventure;Masako Nozawa;Aya Hisakawa;Ryô Horikawa;0;0;0;1;100;8500000;115560610
509;Wildlife;2018;6.8;80;20847;PG-13;https://imdb.com/title/tt5929754/;Drama;;;Ed Oxenbould;Jake Gyllenhaal;Carey Mulligan;0;0;6;23;105;;3321367
510;Second Act;2018;5.8;46;20478;PG-13;https://imdb.com/title/tt2126357/;Comedy;Drama;Romance;Jennifer Lopez;Vanessa Hudgens;Leah Remini;0;0;2;1;103;16000000;72282227
511;Unfriended: Dark Web;2018;5.9;53;20211;R;https://imdb.com/title/tt4761916/;Horror;Mystery;Thriller;Colin Woodell;Stephanie Nogueras;Betty Gabriel;0;0;0;0;92;1000000;16024987
512;Don't Worry, He Won't Get Far on Foot;2018;6.9;67;19985;R;https://imdb.com/title/tt6288124/;Biography;Comedy;Drama;Joaquin Phoenix;Jonah Hill;Rooney Mara;0;0;0;4;114;;4241656
513;Freaks;2018;6.7;63;19601;R;https://imdb.com/title/tt8781414/;Drama;Mystery;Sci-Fi;Emile Hirsch;Bruce Dern;Grace Park;0;0;9;13;105;;335050
514;The Professor;2018;6.7;37;19431;R;https://imdb.com/title/tt6865690/;Comedy;Drama;;Johnny Depp;Rosemarie DeWitt;Odessa Young;0;0;0;1;90;;3658950
515;Pad Man;2018;7.9;;19358;PG-13;https://imdb.com/title/tt7218518/;Comedy;Drama;;Akshay Kumar;Radhika Apte;Sonam Kapoor;130;0;2;2;140;;29045020
516;Early Man;2018;6.1;68;18265;PG;https://imdb.com/title/tt4701724/;Animation;Adventure;Comedy;Eddie Redmayne;Tom Hiddleston;Maisie Williams;0;0;1;10;89;50000000;54622814
517;The Hurricane Heist;2018;5.1;35;17839;PG-13;https://imdb.com/title/tt5360952/;Action;Adventure;Crime;Toby Kebbell;Maggie Grace;Ryan Kwanten;0;0;0;0;103;35000000;32517248
518;Traffik;2018;6.0;37;17777;R;https://imdb.com/title/tt5670152/;Action;Crime;Drama;Priscilla Quintana;Luke Goss;Paula Patton;0;0;0;3;96;4000000;9515914
519;Beirut;2018;6.4;69;17709;R;https://imdb.com/title/tt4669264/;Action;Drama;Thriller;Jon Hamm;Jay Potter;Khalid Benchagra;0;0;0;1;;;7509436
520;Colette;2018;6.7;74;17664;R;https://imdb.com/title/tt5437928/;Biography;Drama;History;Keira Knightley;Fiona Shaw;Dominic West;0;0;1;10;111;;14273033
521;Bad Samaritan;2018;6.4;42;17157;R;https://imdb.com/title/tt3203528/;Crime;Horror;Thriller;David Tennant;Robert Sheehan;Kerry Condon;0;0;0;1;110;;4623836
522;Welcome to Marwen;2018;6.2;40;17076;PG-13;https://imdb.com/title/tt3289724/;Biography;Comedy;Drama;Steve Carell;Falk Hentschel;Matt O'Leary;0;0;2;8;116;39000000;13061491
523;Every Day;2018;6.4;52;17044;PG-13;https://imdb.com/title/tt7026672/;Drama;Fantasy;Romance;Angourie Rice;Justice Smith;Debby Ryan;0;0;0;1;97;4900000;10421847
524;Juliet, Naked;2018;6.6;67;16928;R;https://imdb.com/title/tt5607096/;Comedy;Drama;Music;Chris O'Dowd;Rose Byrne;Kitty O'Beirne;0;0;0;5;97;;4508260
525;Prospect;2018;6.2;68;16640;R;https://imdb.com/title/tt7946422/;Drama;Sci-Fi;Thriller;Sophie Thatcher;Jay Duplass;Pedro Pascal;0;0;6;10;100;;22777
526;Ben Is Back;2018;6.7;66;16521;R;https://imdb.com/title/tt7545524/;Drama;;;Julia Roberts;Lucas Hedges;Courtney B. Vance;0;0;2;8;103;13000000;10134204
527;The Possession of Hannah Grace;2018;5.2;37;16514;R;https://imdb.com/title/tt5734576/;Horror;Mystery;Thriller;Shay Mitchell;Grey Damon;Kirby Johnson;0;0;0;3;86;7700000;43016528
528;Batman Ninja;2018;5.6;;16420;PG-13;https://imdb.com/title/tt7451284/;Animation;Action;Sci-Fi;Kôichi Yamadera;Wataru Takagi;Ai Kakuma;0;0;0;0;85;;
529;Goosebumps 2: Haunted Halloween;2018;5.6;53;16042;PG;https://imdb.com/title/tt5664636/;Adventure;Comedy;Family;Wendi McLendon-Covey;Madison Iseman;Jeremy Ray Taylor;0;0;0;0;90;35000000;93320380
530;Fahrenheit 11/9;2018;6.9;69;15957;R;https://imdb.com/title/tt8632862/;Documentary;;;Jim Acosta;Roger Ailes;Brooke Baldwin;0;0;3;6;128;5000000;6674168
531;The Nightingale;2018;7.3;77;15573;R;https://imdb.com/title/tt4068576/;Adventure;Drama;Thriller;Aisling Franciosi;Michael Sheasby;Addison Christie;0;0;23;17;136;;855756
532;Teen Titans GO! to the Movies;2018;6.8;69;15407;PG;https://imdb.com/title/tt7424200/;Animation;Action;Adventure;Greg Cipes;Scott Menville;Khary Payton;0;0;0;8;84;10000000;52090236
533;Life Itself;2018;6.8;21;15068;R;https://imdb.com/title/tt5989218/;Drama;Romance;;Oscar Isaac;Olivia Wilde;Annette Bening;0;0;2;4;117;10000000;7997774
534;Vox Lux;2018;5.9;67;14925;R;https://imdb.com/title/tt5960374/;Drama;Music;;Natalie Portman;Jude Law;Stacy Martin;0;0;2;12;114;;1399272
535;A Private War;2018;6.7;75;14917;R;https://imdb.com/title/tt2368254/;Biography;Drama;War;Rosamund Pike;Alexandra Moen;Tom Hollander;0;2;1;7;110;;3915207
536;Private Life;2018;7.2;83;13986;R;https://imdb.com/title/tt5536610/;Comedy;Drama;;Kathryn Hahn;Paul Giamatti;Gabrielle Reid;0;0;1;15;123;;
537;The Command;2018;6.6;55;13695;PG-13;https://imdb.com/title/tt4951982/;Action;Adventure;Drama;Matthias Schoenaerts;Léa Seydoux;Peter Simonischek;0;0;0;0;117;20000000;6926443
538;Forever My Girl;2018;6.7;36;13442;PG;https://imdb.com/title/tt4103724/;Drama;Music;Romance;Alex Roe;Jessica Rothe;Abby Ryder Fortson;0;0;0;0;108;3500000;16376066
539;I Can Only Imagine;2018;7.3;30;13415;PG;https://imdb.com/title/tt6450186/;Biography;Drama;Family;J. Michael Finley;Madeline Carroll;Dennis Quaid;0;0;4;4;110;7000000;86026201
540;Assassination Nation;2018;5.9;56;13208;R;https://imdb.com/title/tt6205872/;Action;Comedy;Crime;Odessa Young;Abra;Suki Waterhouse;0;0;1;4;108;7000000;2584988
541;Happy as Lazzaro;2018;7.6;87;13182;PG-13;https://imdb.com/title/tt6752992/;Drama;Fantasy;;Adriano Tardiolo;Agnese Graziani;Alba Rohrwacher;0;0;18;52;128;;1802696
