,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
269,Life,2015,6.1,59.0,7140.0,R,https://imdb.com/title/tt2948840/,Biography,Drama,,Robert Pattinson,Dane DeHaan,Peter Lucas,0.0,0.0,0.0,0.0,111.0,12000000.0,1231606.0
270,Do You Believe?,2015,6.1,22.0,6918.0,PG-13,https://imdb.com/title/tt4056738/,Drama,,,Mira Sorvino,Sean Astin,Alexa PenaVega,0.0,0.0,2.0,3.0,120.0,2300000.0,14410698.0
271,Interstellar,2014,8.6,74.0,1426042.0,PG-13,https://imdb.com/title/tt0816692/,Adventure,Drama,Sci-Fi,Matthew McConaughey,Anne Hathaway,Jessica Chastain,30.0,1.0,43.0,43147.0,169.0,165000000.0,677519931.0
272,Guardians of the Galaxy,2014,8.0,76.0,1015735.0,PG-13,https://imdb.com/title/tt2015381/,Action,Adventure,Comedy,Chris Pratt,Vin Diesel,Bradley Cooper,0.0,2.0,52.0,52100.0,121.0,170000000.0,772776600.0
273,Gone Girl,2014,8.1,79.0,823146.0,R,https://imdb.com/title/tt2267998/,Drama,Mystery,Thriller,Ben Affleck,Rosamund Pike,Neil Patrick Harris,189.0,1.0,64.0,64183.0,149.0,61000000.0,369330363.0
274,Captain America: The Winter Soldier,2014,7.7,70.0,712959.0,PG-13,https://imdb.com/title/tt1843866/,Action,Adventure,Sci-Fi,Chris Evans,Samuel L. Jackson,Scarlett Johansson,0.0,1.0,5.0,550.0,136.0,170000000.0,714421503.0
275,Whiplash,2014,8.5,88.0,680851.0,R,https://imdb.com/title/tt2582802/,Drama,Music,,Miles Teller,J.K. Simmons,Melissa Benoist,45.0,3.0,91.0,91143.0,106.0,3300000.0,48982041.0
276,The Grand Budapest Hotel,2014,8.1,88.0,680172.0,R,https://imdb.com/title/tt2278388/,Adventure,Comedy,Crime,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,191.0,4.0,130.0,130225.0,99.0,25000000.0,172936941.0
277,The Imitation Game,2014,8.0,73.0,660681.0,PG-13,https://imdb.com/title/tt2084970/,Biography,Drama,Thriller,Benedict Cumberbatch,Keira Knightley,Matthew Goode,0.0,1.0,48.0,48159.0,114.0,14000000.0,233555708.0
278,X-Men: Days of Future Past,2014,8.0,75.0,646446.0,PG-13,https://imdb.com/title/tt1877832/,Action,Adventure,Sci-Fi,Patrick Stewart,Ian McKellen,Hugh Jackman,0.0,1.0,16.0,1647.0,132.0,200000000.0,746045700.0
279,Edge of Tomorrow,2014,7.9,71.0,580594.0,PG-13,https://imdb.com/title/tt1631867/,Action,Adventure,Sci-Fi,Tom Cruise,Emily Blunt,Bill Paxton,0.0,0.0,11.0,37.0,113.0,178000000.0,370541256.0
280,Kingsman: The Secret Service,2014,7.7,60.0,574715.0,R,https://imdb.com/title/tt2802144/,Action,Adventure,Comedy,Colin Firth,Taron Egerton,Samuel L. Jackson,0.0,0.0,8.0,27.0,129.0,81000000.0,414351546.0
281,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,560417.0,R,https://imdb.com/title/tt2562232/,Comedy,Drama,,Michael Keaton,Zach Galifianakis,Edward Norton,0.0,4.0,192.0,192285.0,119.0,18000000.0,103215094.0
282,John Wick,2014,7.4,68.0,512860.0,R,https://imdb.com/title/tt2911666/,Action,Crime,Thriller,Keanu Reeves,Michael Nyqvist,Alfie Allen,0.0,0.0,5.0,8.0,101.0,20000000.0,86013056.0
283,The Hobbit: The Battle of the Five Armies,2014,7.4,59.0,460801.0,PG-13,https://imdb.com/title/tt2310332/,Adventure,Fantasy,,Ian McKellen,Martin Freeman,Richard Armitage,0.0,1.0,7.0,753.0,144.0,250000000.0,956019788.0
284,Ex Machina,2014,7.7,78.0,456998.0,R,https://imdb.com/title/tt0470752/,Drama,Mystery,Sci-Fi,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,0.0,1.0,71.0,71156.0,108.0,15000000.0,36869414.0
285,Nightcrawler,2014,7.8,76.0,442359.0,R,https://imdb.com/title/tt2872718/,Crime,Drama,Thriller,Jake Gyllenhaal,Rene Russo,Bill Paxton,0.0,1.0,42.0,42122.0,117.0,8500000.0,47398992.0
286,Lucy,2014,6.4,61.0,429734.0,R,https://imdb.com/title/tt2872732/,Action,Sci-Fi,Thriller,Scarlett Johansson,Morgan Freeman,Min-sik Choi,0.0,0.0,1.0,12.0,89.0,40000000.0,458863600.0
287,American Sniper,2014,7.3,72.0,425369.0,R,https://imdb.com/title/tt2179136/,Action,Biography,Drama,Bradley Cooper,Sienna Miller,Kyle Gallner,0.0,1.0,23.0,2343.0,133.0,58800000.0,547426372.0
288,Divergent,2014,6.7,48.0,415821.0,PG-13,https://imdb.com/title/tt1840309/,Action,Adventure,Mystery,Shailene Woodley,Theo James,Kate Winslet,0.0,0.0,7.0,11.0,139.0,85000000.0,288885818.0
