,movie,year,imdb_ratings,metascore,votes,category,mv_page,genres1,genres2,genres3,stars1,stars2,stars3,rank,nb_oscar,win,nom,runtime,budget,gross
3620,Sabretooth,2002,3.6,,1738,R,https://imdb.com/title/tt0284445/,Horror,Sci-Fi,,David Keith,Vanessa Angel,John Rhys-Davies,0,0,0,0,120,,
3621,The Mangler 2,2002,2.5,,1731,R,https://imdb.com/title/tt0260162/,Horror,Sci-Fi,,Lance Henriksen,Chelse Swain,Philippe Bergeron,0,0,0,0,,4000000,
3622,Life Without Dick,2002,3.8,,1726,PG-13,https://imdb.com/title/tt0262571/,Comedy,Crime,Romance,Sarah Jessica Parker,Harry Connick Jr.,Johnny Knoxville,0,0,0,0,97,,
3623,Wishcraft,2002,5.2,,1720,R,https://imdb.com/title/tt0255702/,Horror,,,Michael Weston,Alexandra Holden,Huntley Ritter,0,0,0,0,102,5000000,329217
3624,H,2002,5.9,,1706,R,https://imdb.com/title/tt0304120/,Drama,Mystery,Thriller,Jung-ah Yum,Jin-hee Ji,Ji-ru Sung,0,0,0,1,106,,438227
3625,29 Palms,2002,4.7,,1680,R,https://imdb.com/title/tt0283090/,Comedy,Crime,Drama,Jeremy Davies,Chris O'Donnell,Rachael Leigh Cook,0,0,0,0,,5000000,
3626,The Smashing Machine,2002,7.8,,1651,R,https://imdb.com/title/tt0320512/,Documentary,Sport,,Mark Kerr,Mark Coleman,Dawn Staples,0,0,0,0,,,
3627,Black Mask 2: City of Masks,2002,3.5,,1639,R,https://imdb.com/title/tt0264429/,Action,Drama,Sci-Fi,Andy On,Tobin Bell,Jon Polito,0,0,0,0,102,,529322
3628,The Nugget,2002,6.0,,1620,R,https://imdb.com/title/tt0278597/,Comedy,,,Eric Bana,Stephen Curry,Dave O'Neil,0,0,2,1,97,,985672
3629,Martin Lawrence Live: Runteldat,2002,5.4,40        ,1617,R,https://imdb.com/title/tt0327036/,Documentary,Comedy,,Martin Lawrence,Nancy O'Dell,Paul Keeley,0,0,0,0,113,3000000,19184820
3630,Ritual,2002,4.8,,1608,R,https://imdb.com/title/tt0250698/,Horror,,,Jennifer Grey,Craig Sheffer,Daniel Lapaine,0,0,0,0,99,10000000,
3631,Le talisman,2002,4.5,,1603,PG-13,https://imdb.com/title/tt0293660/,Action,Adventure,Romance,Michelle Yeoh,Ben Chaplin,Richard Roxburgh,0,0,2,2,83,20000000,2262168
3632,Food of Love,2002,6.0,46        ,1591,R,https://imdb.com/title/tt0309600/,Drama,Music,Romance,Paul Rhys,Kevin Bishop,Juliet Stevenson,0,0,4,1,112,,113164
